食品名,水分,トリアシルグリセロール当量,脂質,脂肪酸総量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,n-3系脂肪酸,n-6系脂肪酸
単位,g,g,g,g,g,g,g,g,g
＜畜肉類＞　めんよう　［ラム］　ロース　脂身つき　生,56.5,23.2,25.9,22.12,11.73,9.52,0.87,0.32,0.55
＜畜肉類＞　めんよう　［ラム］　ロース　脂身つき　焼き,43.5,27.2,31.4,25.96,14.26,10.53,1.18,0.45,0.73
＜畜肉類＞　めんよう　［ラム］　ロース　皮下脂肪なし　生,72.3,4.3,5.2,4.15,2.06,1.81,0.29,0.10,0.19
＜畜肉類＞　めんよう　［ラム］　もも　脂身つき　生,69.7,10.3,12.0,9.82,4.91,4.39,0.52,0.18,0.34
＜畜肉類＞　めんよう　［ラム］　もも　脂身つき　焼き,53.5,18.4,20.3,17.59,9.19,7.45,0.95,0.36,0.59
＜畜肉類＞　めんよう　混合プレスハム,75.8,3.4,4.1,3.28,1.32,1.38,0.58,0.13,0.45
＜畜肉類＞　やぎ　肉　赤肉　生,75.4,1.0,1.5,0.91,0.38,0.35,0.18,0.05,0.14
＜鳥肉類＞　うずら　肉　皮つき　生,65.4,11.9,12.9,11.38,2.93,3.85,4.60,0.24,4.36
＜鳥肉類＞　がちょう　フォアグラ　ゆで,39.7,48.5,49.9,46.36,18.31,27.44,0.61,0,0.61
＜鳥肉類＞　かも　まがも　肉　皮なし　生,72.1,2.2,3.0,2.10,0.70,0.86,0.55,0.03,0.52
＜鳥肉類＞　かも　あいがも　肉　皮つき　生,56.0,28.2,29.0,27.00,8.02,13.32,5.66,0.32,5.35
＜鳥肉類＞　かも　あひる　肉　皮つき　生,62.7,18.2,19.8,17.42,4.94,7.81,4.67,0.30,4.37
＜鳥肉類＞　かも　あひる　肉　皮なし　生,77.2,1.5,2.2,1.41,0.46,0.50,0.44,0.03,0.42
＜鳥肉類＞　かも　あひる　皮　生,41.3,42.9,45.8,41.03,11.55,18.58,10.90,0.71,10.20
＜鳥肉類＞　きじ　肉　皮なし　生,75.0,0.8,1.1,0.75,0.28,0.26,0.22,0.03,0.19
＜鳥肉類＞　しちめんちょう　肉　皮なし　生,74.6,0.4,0.7,0.42,0.15,0.13,0.15,0.04,0.11
＜鳥肉類＞　すずめ　肉　骨・皮つき　生,72.2,4.6,5.9,4.38,1.84,1.53,1.01,0.20,0.81
＜鳥肉類＞　にわとり　［親・主品目］　手羽　皮つき　生,66.0,9.6,10.4,9.20,2.06,4.80,2.34,0.09,2.25
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,62.6,16.5,17.2,15.76,5.19,8.20,2.37,0.11,2.26
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮なし　生,72.8,1.5,1.9,1.44,0.40,0.62,0.42,0.02,0.40
＜鳥肉類＞　にわとり　［親・主品目］　もも　皮つき　生,62.9,18.3,19.1,17.45,5.67,9.00,2.78,0.12,2.66
＜鳥肉類＞　にわとり　［親・主品目］　もも　皮なし　生,72.3,4.2,4.8,3.97,0.99,1.86,1.13,0.04,1.09
＜鳥肉類＞　にわとり　［親・副品目］　ささみ　生,73.2,0.8,1.1,0.72,0.23,0.27,0.22,0.01,0.21
＜鳥肉類＞　にわとり　［若どり・主品目］　手羽　皮つき　生,68.1,13.7,14.3,13.11,3.98,7.13,1.99,0.16,1.84
＜鳥肉類＞　にわとり　［若どり・主品目］　手羽さき　皮つき　生,67.1,15.7,16.2,15.05,4.40,8.32,2.33,0.18,2.14
＜鳥肉類＞　にわとり　［若どり・主品目］　手羽もと　皮つき　生,68.9,12.1,12.8,11.55,3.64,6.18,1.73,0.14,1.59
＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮つき　生,72.6,5.5,5.9,5.23,1.53,2.67,1.03,0.11,0.92
＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮つき　焼き,55.1,8.4,9.1,7.98,2.33,3.97,1.69,0.18,1.50
＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮なし　生,74.6,1.6,1.9,1.55,0.45,0.74,0.37,0.05,0.32
＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮なし　焼き,57.6,2.8,3.3,2.65,0.78,1.22,0.65,0.08,0.56
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　生,68.5,13.5,14.2,12.93,4.37,6.71,1.85,0.09,1.76
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　ゆで,62.9,14.2,15.2,13.57,4.43,7.24,1.90,0.09,1.81
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　焼き,58.4,12.7,13.9,12.16,4.02,6.41,1.73,0.08,1.65
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　から揚げ,41.2,17.2,18.1,16.47,3.26,9.54,3.67,0.70,2.97
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　生,76.1,4.3,5.0,4.14,1.38,2.06,0.71,0.04,0.67
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　ゆで,69.1,4.2,5.2,4.03,1.36,1.98,0.69,0.04,0.65
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　焼き,68.1,4.5,5.7,4.30,1.41,2.14,0.75,0.04,0.71
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　から揚げ,47.1,10.5,11.4,10.08,1.62,5.89,2.58,0.59,1.99
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　生,75.0,0.5,0.8,0.52,0.17,0.22,0.13,0.02,0.11
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　ゆで,69.2,0.6,1.0,0.57,0.20,0.25,0.12,0.01,0.10
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　焼き,66.4,0.8,1.4,0.80,0.28,0.35,0.18,0.02,0.16
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　ソテー,57.3,4.6,5.4,4.41,0.58,2.61,1.22,0.30,0.91
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　フライ,52.4,12.2,12.8,11.66,1.04,7.31,3.31,0.99,2.32
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　天ぷら,59.3,6.9,7.4,6.59,0.65,4.07,1.87,0.55,1.32
＜鳥肉類＞　にわとり　［二次品目］　ひき肉　生,70.2,11.0,12.0,10.48,3.28,5.31,1.90,0.13,1.77
＜鳥肉類＞　にわとり　［二次品目］　ひき肉　焼き,57.1,13.7,14.8,13.09,4.17,6.64,2.29,0.16,2.13
＜鳥肉類＞　にわとり　［副品目］　心臓　生,69.0,13.2,15.5,12.58,3.86,6.46,2.27,0.19,2.07
＜鳥肉類＞　にわとり　［副品目］　肝臓　生,75.7,1.9,3.1,1.79,0.72,0.44,0.63,0.25,0.38
＜鳥肉類＞　にわとり　［副品目］　すなぎも　生,79.0,1.2,1.8,1.13,0.40,0.49,0.24,0.04,0.20
＜鳥肉類＞　にわとり　［副品目］　皮　むね　生,41.5,46.7,48.1,44.66,14.85,23.50,6.31,0.28,6.03
＜鳥肉類＞　にわとり　［副品目］　皮　もも　生,41.6,50.3,51.6,48.07,16.30,25.23,6.54,0.29,6.25
＜鳥肉類＞　にわとり　［副品目］　なんこつ（胸肉）　生,85.0,0.3,0.4,0.24,0.09,0.12,0.03,Tr,0.03
＜鳥肉類＞　にわとり　［その他］　焼き鳥缶詰,62.8,7.6,7.8,7.24,2.08,3.46,1.70,0.10,1.60
＜鳥肉類＞　にわとり　［その他］　チキンナゲット,53.7,12.3,13.7,11.73,3.28,6.20,2.26,0.36,1.90
＜鳥肉類＞　にわとり　［その他］　つくね,57.9,14.8,15.2,14.11,3.98,7.12,3.00,0.29,2.71
＜鳥肉類＞　はと　肉　皮なし　生,71.5,4.4,5.1,4.23,1.23,1.90,1.09,0.05,1.04
＜鳥肉類＞　ほろほろちょう　肉　皮なし　生,75.2,0.7,1.0,0.66,0.21,0.18,0.26,0.02,0.24
＜その他＞　いなご　つくだ煮,33.7,0.6,1.4,0.55,0.11,0.12,0.32,0.24,0.08
＜その他＞　かえる　肉　生,76.3,0.2,0.4,0.22,0.07,0.06,0.09,0.06,0.03
＜その他＞　すっぽん　肉　生,69.1,12.0,13.4,11.44,2.66,5.43,3.36,2.32,1.02
＜その他＞　はち　はちの子缶詰,44.3,6.8,7.2,6.45,2.45,2.61,1.39,0.51,0.88
あひる卵　ピータン,66.7,13.5,16.5,12.89,3.06,8.19,1.64,0.24,1.40
うこっけい卵　全卵　生,73.7,10.5,13.0,10.05,3.60,4.54,1.92,0.21,1.71
うずら卵　全卵　生,72.9,10.7,13.1,10.20,3.87,4.73,1.61,0.33,1.27
うずら卵　水煮缶詰,73.3,11.9,14.1,11.39,4.24,5.36,1.79,0.35,1.45
鶏卵　全卵　生,75.0,9.3,10.2,8.87,3.12,4.32,1.43,0.11,1.32
鶏卵　全卵　ゆで,76.7,9.0,10.4,8.58,3.04,4.15,1.40,0.10,1.29
鶏卵　全卵　ポーチドエッグ,74.9,9.7,11.7,9.24,3.21,4.17,1.86,0.18,1.68
鶏卵　全卵　目玉焼き,67.0,15.5,17.6,14.78,3.81,7.89,3.08,0.58,2.50
鶏卵　全卵　いり,70.0,14.6,16.7,13.95,3.47,7.53,2.95,0.57,2.38
鶏卵　全卵　素揚げ,54.8,29.9,31.9,28.56,4.71,16.95,6.89,1.78,5.12
鶏卵　全卵　水煮缶詰,77.5,9.1,10.6,8.70,2.97,4.06,1.68,0.18,1.50
鶏卵　全卵　加糖全卵,58.2,8.9,10.6,8.53,2.96,4.17,1.40,0.09,1.30
鶏卵　全卵　乾燥全卵,4.5,(35.3),42.0,(33.73),(12.29),(15.32),(6.12),(0.29),(5.84)
鶏卵　卵黄　生,49.6,28.2,34.3,26.93,9.39,13.00,4.54,0.35,4.19
鶏卵　卵黄　ゆで,50.3,27.6,34.1,26.40,9.18,12.77,4.45,0.33,4.13
鶏卵　卵黄　加糖卵黄,42.0,20.0,23.9,19.16,6.53,8.99,3.63,0.28,3.36
鶏卵　卵黄　乾燥卵黄,3.2,52.9,62.9,50.53,18.41,22.95,9.17,0.43,8.74
鶏卵　卵白　生,88.3,0,Tr,0.01,Tr,Tr,Tr,0,Tr
鶏卵　卵白　ゆで,87.9,Tr,0.1,0.04,0.01,0.02,0.01,0,0.01
鶏卵　卵白　乾燥卵白,7.1,0.3,0.4,0.30,0.10,0.15,0.05,Tr,0.05
鶏卵　たまご豆腐,85.2,(4.5),5.3,(4.34),(1.53),(2.10),(0.71),(0.05),(0.65)
鶏卵　たまご焼　厚焼きたまご,71.9,(8.1),9.2,(7.71),(2.59),(3.70),(1.42),(0.13),(1.29)
鶏卵　たまご焼　だし巻きたまご,77.5,(8.0),9.2,(7.63),(2.65),(3.68),(1.30),(0.11),(1.20)
＜牛乳及び乳製品＞　（液状乳類）　生乳　ジャージー種,85.5,5.0,5.2,4.76,3.46,1.11,0.18,0.02,0.16
＜牛乳及び乳製品＞　（液状乳類）　生乳　ホルスタイン種,87.7,3.8,3.7,3.57,2.36,1.06,0.15,0.02,0.13
＜牛乳及び乳製品＞　（液状乳類）　普通牛乳,87.4,3.5,3.8,3.32,2.33,0.87,0.12,0.02,0.10
＜牛乳及び乳製品＞　（液状乳類）　脱脂乳,91.0,0.1,0.1,0.07,0.05,0.02,Tr,0,Tr
＜牛乳及び乳製品＞　（液状乳類）　加工乳　濃厚,86.3,4.2,4.2,4.02,2.75,1.14,0.14,0.02,0.12
＜牛乳及び乳製品＞　（液状乳類）　加工乳　低脂肪,88.8,1.0,1.0,0.93,0.67,0.23,0.03,Tr,0.03
＜牛乳及び乳製品＞　（液状乳類）　乳飲料　コーヒー,88.1,2.0,2.0,1.91,1.32,0.53,0.06,0.02,0.05
＜牛乳及び乳製品＞　（液状乳類）　乳飲料　フルーツ,88.3,0.2,0.2,0.18,0.13,0.04,0.01,0,0.01
＜牛乳及び乳製品＞　（粉乳類）　全粉乳,3.0,25.5,26.2,24.17,16.28,7.17,0.72,0.06,0.66
＜牛乳及び乳製品＞　（粉乳類）　脱脂粉乳,3.8,0.7,1.0,0.65,0.44,0.18,0.03,Tr,0.03
＜牛乳及び乳製品＞　（粉乳類）　乳児用調製粉乳,2.6,26.0,26.8,24.78,11.27,8.44,5.07,0.38,4.69
＜牛乳及び乳製品＞　（練乳類）　無糖練乳,72.5,7.5,7.9,7.11,4.88,2.10,0.13,0.02,0.10
＜牛乳及び乳製品＞　（練乳類）　加糖練乳,26.1,8.4,8.5,8.01,5.59,2.16,0.26,0.04,0.22
＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪,48.2,39.6,43.0,37.53,26.28,9.89,1.37,0.21,1.15
＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪・植物性脂肪,49.8,(40.2),42.1,(38.23),(18.32),(18.74),(1.17),(0.21),(0.96)
＜牛乳及び乳製品＞　（クリーム類）　クリーム　植物性脂肪,55.5,37.6,39.5,35.72,26.61,7.38,1.73,0.10,1.63
＜牛乳及び乳製品＞　（クリーム類）　ホイップクリーム　乳脂肪,44.3,(37.5),40.7,(35.57),(24.98),(9.34),(1.25),(0.19),(1.06)
＜牛乳及び乳製品＞　（クリーム類）　ホイップクリーム　乳脂肪・植物性脂肪,44.0,(36.7),38.4,(34.89),(16.63),(17.19),(1.07),(0.20),(0.87)
＜牛乳及び乳製品＞　（クリーム類）　ホイップクリーム　植物性脂肪,43.7,(35.8),36.1,(34.20),(8.30),(25.01),(0.88),(0.20),(0.68)
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　液状　乳脂肪,70.3,17.8,18.3,16.88,11.57,4.73,0.58,0.08,0.50
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　液状　乳脂肪・植物性脂肪,69.2,(21.2),21.6,(20.23),(8.66),(10.98),(0.59),(0.11),(0.49)
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　液状　植物性脂肪,68.4,24.6,24.8,23.49,5.70,17.18,0.61,0.14,0.47
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　粉末状　乳脂肪,2.8,24.4,27.3,23.13,16.45,6.06,0.62,0.12,0.51
＜牛乳及び乳製品＞　（クリーム類）　コーヒーホワイトナー　粉末状　植物性脂肪,2.7,32.8,36.2,31.00,31.00,0,0,0,0
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　全脂無糖,87.7,2.8,3.0,2.64,1.83,0.71,0.10,0.01,0.08
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　低脂肪無糖,89.2,0.9,1.0,0.83,0.58,0.22,0.03,Tr,0.02
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　無脂肪無糖,89.1,0.2,0.3,0.23,0.16,0.06,0.01,0,0.01
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　脱脂加糖,82.6,0.2,0.2,0.19,0.13,0.06,0.01,0,0.01
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　ドリンクタイプ　加糖,83.8,0.5,0.5,0.45,0.33,0.11,0.02,Tr,0.01
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　乳酸菌飲料　乳製品,82.1,Tr,0.1,0.04,0.03,0.01,Tr,0,Tr
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　乳酸菌飲料　殺菌乳製品,45.5,0.1,0.1,0.09,0.06,0.02,0.01,Tr,Tr
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　乳酸菌飲料　非乳製品,89.3,0.1,0.1,0.10,0.04,0.02,0.03,Tr,0.03
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　エダム,41.0,22.6,25.0,21.43,15.96,4.94,0.53,0.16,0.37
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　エメンタール,33.5,29.5,33.6,27.98,18.99,8.12,0.87,0.35,0.52
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　カテージ,79.0,4.1,4.5,3.85,2.73,1.00,0.13,0.02,0.10
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　カマンベール,51.8,22.5,24.7,21.28,14.87,5.71,0.70,0.16,0.54
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　クリーム,55.5,30.1,33.0,28.55,20.26,7.40,0.89,0.25,0.63
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　ゴーダ,40.0,26.2,29.0,24.81,17.75,6.39,0.67,0.19,0.48
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　チェダー,35.3,32.1,33.8,30.42,20.52,9.09,0.81,0.26,0.54
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　パルメザン,15.4,27.6,30.8,26.20,18.15,7.11,0.94,0.28,0.67
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　ブルー,45.6,26.1,29.0,24.74,17.17,6.76,0.80,0.13,0.67
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　マスカルポーネ,62.4,25.3,28.2,23.99,16.77,6.40,0.81,0.13,0.68
＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　やぎ,52.9,20.1,21.7,18.99,13.37,4.88,0.74,0.14,0.60
＜牛乳及び乳製品＞　（チーズ類）　プロセスチーズ,45.0,24.7,26.0,23.39,16.00,6.83,0.56,0.17,0.39
＜牛乳及び乳製品＞　（チーズ類）　チーズスプレッド,53.8,23.1,25.7,21.90,15.75,5.51,0.63,0.18,0.45
＜牛乳及び乳製品＞　（アイスクリーム類）　アイスクリーム　高脂肪,61.3,10.8,12.0,10.25,7.12,2.79,0.34,0.06,0.28
＜牛乳及び乳製品＞　（アイスクリーム類）　アイスクリーム　普通脂肪,63.9,7.7,8.0,7.31,4.64,2.32,0.36,0.05,0.30
＜牛乳及び乳製品＞　（アイスクリーム類）　アイスミルク,65.6,6.5,6.4,6.15,4.64,1.35,0.16,0.02,0.13
＜牛乳及び乳製品＞　（アイスクリーム類）　ラクトアイス　普通脂肪,60.4,14.1,13.6,13.40,9.11,3.67,0.62,0.01,0.60
＜牛乳及び乳製品＞　（アイスクリーム類）　ラクトアイス　低脂肪,75.2,2.0,2.0,1.93,1.41,0.47,0.05,0.01,0.05
＜牛乳及び乳製品＞　（アイスクリーム類）　ソフトクリーム,69.6,5.6,5.6,5.36,3.69,1.48,0.19,0.03,0.16
＜牛乳及び乳製品＞　（その他）　カゼイン,10.6,1.4,1.5,1.36,1.02,0.30,0.05,0.01,0.03
＜牛乳及び乳製品＞　（その他）　シャーベット,69.1,1.0,1.0,0.99,0.77,0.18,0.04,Tr,0.04
＜牛乳及び乳製品＞　（その他）　チーズホエーパウダー,2.2,1.2,1.2,1.11,0.75,0.32,0.04,0.01,0.04
＜その他＞　人乳,88.0,3.6,3.5,3.46,1.32,1.52,0.61,0.09,0.52
＜その他＞　やぎ乳,88.0,3.2,3.6,3.05,2.19,0.77,0.09,0.03,0.07
（植物油脂類）　あまに油,Tr,99.5,100,95.13,8.09,15.91,71.13,56.63,14.50
（植物油脂類）　えごま油,Tr,99.5,100,95.17,7.64,16.94,70.60,58.31,12.29
（植物油脂類）　オリーブ油,0,98.9,100,94.58,13.29,74.04,7.24,0.60,6.64
（植物油脂類）　ごま油,0,98.1,100,93.83,15.04,37.59,41.19,0.31,40.88
（植物油脂類）　米ぬか油,0,96.1,100,91.86,18.80,39.80,33.26,1.15,32.11
（植物油脂類）　サフラワー油　ハイオレイック,0,98.5,100,94.21,7.36,73.24,13.62,0.21,13.41
（植物油脂類）　サフラワー油　ハイリノール,0,96.6,100,92.40,9.26,12.94,70.19,0.22,69.97
（植物油脂類）　大豆油,0,97.0,100,92.76,14.87,22.12,55.78,6.10,49.67
（植物油脂類）　調合油,0,97.2,100,93.01,10.97,41.10,40.94,6.81,34.13
（植物油脂類）　とうもろこし油,0,96.8,100,92.58,13.04,27.96,51.58,0.76,50.82
（植物油脂類）　なたね油,0,97.5,100,93.26,7.06,60.09,26.10,7.52,18.59
（植物油脂類）　パーム油,0,97.3,100,92.94,47.08,36.70,9.16,0.19,8.97
（植物油脂類）　パーム核油,0,98.6,100,93.13,76.34,14.36,2.43,0,2.43
（植物油脂類）　ひまわり油　ハイリノール,0,99.9,100,95.53,10.25,27.35,57.94,0.43,57.51
（植物油脂類）　ひまわり油　ミッドオレイック,0,98.4,100,94.17,8.85,57.22,28.09,0.22,27.88
（植物油脂類）　ひまわり油　ハイオレイック,0,99.7,100,95.44,8.74,79.90,6.79,0.23,6.57
（植物油脂類）　ぶどう油,0,96.5,100,92.28,10.93,17.80,63.55,0.45,63.10
（植物油脂類）　綿実油,0,96.6,100,92.35,21.06,17.44,53.85,0.34,53.51
（植物油脂類）　やし油,0,97.7,100,92.08,83.96,6.59,1.53,0,1.53
（植物油脂類）　落花生油,0,96.4,100,92.26,19.92,43.34,29.00,0.21,28.80
（動物油脂類）　牛脂,Tr,93.8,99.8,89.67,41.05,45.01,3.61,0.17,3.44
（動物油脂類）　たらのあぶら,0.1,90.6,99.8,86.84,16.40,44.90,25.54,22.64,2.30
（動物油脂類）　ラード,0,97.0,100,92.66,39.29,43.56,9.81,0.46,9.35
（バター類）　無発酵バター　有塩バター,16.2,74.5,81.0,70.56,50.45,17.97,2.14,0.28,1.86
（バター類）　無発酵バター　食塩不使用バター,15.8,77.0,83.0,73.00,52.43,18.52,2.05,0.33,1.72
（バター類）　発酵バター　有塩バター,13.6,74.6,80.0,70.71,50.56,17.99,2.15,0.29,1.87
（マーガリン類）　マーガリン　家庭用　有塩,14.7,78.9,83.1,75.33,23.04,39.32,12.98,1.17,11.81
（マーガリン類）　マーガリン　業務用　有塩,14.8,80.3,84.3,76.64,39.00,28.86,8.78,0.64,8.13
（マーガリン類）　ファットスプレッド,30.2,64.1,69.1,61.14,20.40,20.72,20.02,1.71,18.31
（その他）　ショートニング　家庭用,0.1,97.8,99.9,93.33,46.23,35.54,11.56,0.99,10.57
（その他）　ショートニング　業務用　製菓,Tr,96.3,99.9,91.85,51.13,32.58,8.13,0.30,7.84
（その他）　ショートニング　業務用　フライ,0.1,97.3,99.9,92.95,41.37,38.39,13.19,0.78,12.42
＜和生菓子・和半生菓子類＞　甘納豆　あずき,26.2,(0.1),0.3,(0.13),(0.04),(0.01),(0.08),(0.03),(0.06)
＜和生菓子・和半生菓子類＞　甘納豆　いんげんまめ,25.2,(0.2),0.5,(0.21),(0.04),(0.02),(0.15),(0.09),(0.05)
＜和生菓子・和半生菓子類＞　甘納豆　えんどう,23.1,(0.3),0.4,(0.25),(0.05),(0.08),(0.12),(0.02),(0.11)
＜和生菓子・和半生菓子類＞　今川焼　こしあん入り,45.5,(0.9),1.1,(0.85),(0.27),(0.28),(0.29),(0.02),(0.26)
＜和生菓子・和半生菓子類＞　ういろう　白,54.5,(0.1),0.2,(0.14),(0.05),(0.04),(0.05),(Tr),(0.05)
＜和生菓子・和半生菓子類＞　うぐいすもち　こしあん入り,40.0,(0.3),0.4,(0.25),(0.07),(0.05),(0.12),(0.02),(0.10)
＜和生菓子・和半生菓子類＞　かしわもち　こしあん入り,48.5,(0.3),0.4,(0.29),(0.10),(0.06),(0.12),(0.01),(0.11)
＜和生菓子・和半生菓子類＞　カステラ,25.6,(4.3),5.0,4.16,1.51,1.74,0.91,0.08,0.83
＜和生菓子・和半生菓子類＞　かのこ,34.0,(0.2),0.4,(0.17),(0.05),(0.01),(0.10),(0.03),(0.07)
＜和生菓子・和半生菓子類＞　かるかん,42.5,(0.2),0.3,(0.22),(0.08),(0.05),(0.09),(Tr),(0.09)
＜和生菓子・和半生菓子類＞　きび団子,24.4,(0.2),0.2,(0.20),(0.06),(0.06),(0.08),(Tr),(0.08)
＜和生菓子・和半生菓子類＞　ぎゅうひ,36.0,(0.2),0.2,(0.17),(0.05),(0.05),(0.07),(Tr),(0.07)
＜和生菓子・和半生菓子類＞　きりざんしょ,38.0,(0.3),0.3,(0.27),(0.10),(0.07),(0.10),(Tr),(0.10)
＜和生菓子・和半生菓子類＞　きんつば,34.0,(0.4),0.7,(0.38),(0.12),(0.03),(0.23),(0.05),(0.19)
＜和生菓子・和半生菓子類＞　草もち　こしあん入り,43.0,(0.3),0.4,(0.29),(0.10),(0.06),(0.12),(0.01),(0.11)
＜和生菓子・和半生菓子類＞　くし団子　あん　こしあん入り,50.0,(0.4),0.4,(0.35),(0.12),(0.08),(0.14),(0.01),(0.13)
＜和生菓子・和半生菓子類＞　くし団子　みたらし,50.5,(0.4),0.4,(0.37),(0.13),(0.10),(0.14),(0.01),(0.14)
＜和生菓子・和半生菓子類＞　げっぺい,20.9,(8.3),8.5,(7.90),(2.81),(2.46),(2.64),(0.33),(2.30)
＜和生菓子・和半生菓子類＞　五平もち,54.7,(0.5),0.5,(0.50),(0.13),(0.11),(0.27),(0.03),(0.23)
＜和生菓子・和半生菓子類＞　桜もち　関西風　こしあん入り,50.0,(0.1),0.3,(0.14),(0.05),(0.02),(0.06),(0.01),(0.05)
＜和生菓子・和半生菓子類＞　桜もち　関東風　こしあん入り,40.5,(0.3),0.4,(0.28),(0.08),(0.03),(0.17),(0.02),(0.15)
＜和生菓子・和半生菓子類＞　笹だんご　こしあん入り,40.5,(0.4),0.5,(0.39),(0.13),(0.09),(0.17),(0.01),(0.16)
＜和生菓子・和半生菓子類＞　大福もち　こしあん入り,41.5,(0.3),0.5,(0.32),(0.12),(0.07),(0.14),(0.01),(0.12)
＜和生菓子・和半生菓子類＞　タルト　（和菓子）,30.0,(2.6),3.0,(2.52),(0.87),(1.15),(0.50),(0.04),(0.46)
＜和生菓子・和半生菓子類＞　ちまき,62.0,(0.2),0.2,(0.16),(0.06),(0.04),(0.06),(Tr),(0.06)
＜和生菓子・和半生菓子類＞　ちゃつう,22.5,(4.1),4.3,(3.90),(0.62),(1.46),(1.82),(0.03),(1.78)
＜和生菓子・和半生菓子類＞　どら焼　つぶしあん入り,31.5,(2.8),3.2,(2.69),(0.92),(1.15),(0.62),(0.06),(0.57)
＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　こしあん・つぶしあん混合,30.5,(0.2),0.3,(0.23),(0.08),(0.04),(0.11),(0.02),(0.09)
＜和生菓子・和半生菓子類＞　ねりきり,34.0,(0.2),0.3,(0.14),(0.04),(0.01),(0.09),(0.02),(0.06)
＜和生菓子・和半生菓子類＞　まんじゅう　カステラまんじゅう　こしあん入り,27.9,(1.8),2.1,(1.69),(0.56),(0.64),(0.48),(0.05),(0.44)
＜和生菓子・和半生菓子類＞　まんじゅう　くずまんじゅう　こしあん入り,45.0,(0.1),0.2,(0.08),(0.02),(0.01),(0.05),(0.01),(0.03)
＜和生菓子・和半生菓子類＞　まんじゅう　くりまんじゅう　こしあん入り,24.0,(1.1),1.4,(1.06),(0.35),(0.39),(0.32),(0.03),(0.29)
＜和生菓子・和半生菓子類＞　まんじゅう　とうまんじゅう　こしあん入り,28.0,(2.7),3.1,(2.56),(0.88),(1.10),(0.59),(0.06),(0.53)
＜和生菓子・和半生菓子類＞　まんじゅう　蒸しまんじゅう　こしあん入り,35.0,(0.3),0.5,(0.32),(0.09),(0.03),(0.20),(0.03),(0.17)
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　あんまん　こしあん入り,36.6,(5.3),5.6,(5.05),(1.63),(2.01),(1.41),(0.05),(1.37)
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　肉まん,39.5,(4.7),5.1,(4.45),(1.60),(1.97),(0.88),(0.04),(0.85)
