食品名,水分,トリアシルグリセロール当量,脂質,脂肪酸総量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,n-3系脂肪酸,n-6系脂肪酸
単位,g,g,g,g,g,g,g,g,g
しそ　実　生,85.7,0.1,0.1,0.07,0.01,0.01,0.05,0.03,0.01
しゅんぎく　葉　生,91.8,0.1,0.3,0.13,0.02,0.01,0.10,0.07,0.03
しゅんぎく　葉　ゆで,91.1,(0.2),0.5,(0.22),(0.04),(0.01),(0.17),(0.12),(0.05)
（しょうが類）　葉しょうが　根茎　生,96.3,(0.1),0.2,(0.14),(0.05),(0.04),(0.04),(0.01),(0.03)
（しょうが類）　しょうが　根茎　皮なし　生,91.4,(0.2),0.3,(0.20),(0.08),(0.06),(0.06),(0.01),(0.05)
（しょうが類）　しょうが　漬物　酢漬,89.2,(0.1),0.2,(0.14),(0.06),(0.04),(0.04),(0.01),(0.03)
（しょうが類）　しょうが　漬物　甘酢漬,86.0,(0.3),0.4,(0.26),(0.10),(0.08),(0.08),(0.02),(0.06)
しろうり　果実　生,95.3,(Tr),0.1,(0.02),(0.01),(Tr),(0.01),(0.01),(Tr)
しろうり　漬物　塩漬,92.8,(Tr),0.1,(0.02),(0.01),(Tr),(0.01),(0.01),(Tr)
ずいき　干しずいき　乾,9.9,(0.3),0.4,(0.28),(0.08),(0.03),(0.17),(0.05),(0.12)
すぐきな　葉　生,90.5,(0.1),0.2,(0.14),(0.05),(0.01),(0.08),(0.06),(0.02)
すぐきな　根　生,93.7,(0.1),0.1,(0.07),(0.01),(0.01),(0.05),(0.04),(0.01)
すぐきな　すぐき漬,87.4,(0.5),0.7,(0.49),(0.08),(0.04),(0.37),(0.28),(0.08)
ズッキーニ　果実　生,94.9,(0.1),0.1,(0.06),(0.03),(Tr),(0.03),(0.02),(0.01)
せり　茎葉　生,93.4,(0.1),0.1,(0.05),(0.02),(Tr),(0.03),(Tr),(0.03)
せり　茎葉　ゆで,93.6,(0.1),0.1,(0.05),(0.02),(Tr),(0.03),(Tr),(0.03)
セロリ　葉柄　生,94.7,0.1,0.1,0.05,0.02,Tr,0.03,Tr,0.03
そらまめ　未熟豆　生,72.3,0.1,0.2,0.09,0.03,0.01,0.05,Tr,0.05
そらまめ　未熟豆　ゆで,71.3,(0.1),0.2,(0.09),(0.03),(0.01),(0.05),(Tr),(0.05)
タアサイ　葉　生,94.3,(0.1),0.2,(0.10),(0.02),(Tr),(0.08),(0.06),(0.01)
タアサイ　葉　ゆで,95.0,(0.1),0.2,(0.10),(0.02),(Tr),(0.08),(0.06),(0.01)
（だいこん類）　かいわれだいこん　芽ばえ　生,93.4,(0.2),0.5,(0.21),(0.05),(0.02),(0.15),(0.11),(0.02)
（だいこん類）　葉だいこん　葉　生,92.6,(0.1),0.2,(0.09),(0.02),(0.01),(0.06),(0.04),(0.01)
（だいこん類）　だいこん　葉　生,90.6,Tr,0.1,0.04,0.01,Tr,0.03,0.02,Tr
（だいこん類）　だいこん　葉　ゆで,91.3,(Tr),0.1,(0.04),(0.01),(Tr),(0.03),(0.02),(Tr)
（だいこん類）　だいこん　根　皮つき　生,94.6,Tr,0.1,0.04,0.01,Tr,0.02,0.02,0.01
（だいこん類）　だいこん　根　皮なし　生,94.6,(Tr),0.1,(0.04),(0.01),(Tr),(0.02),(0.02),(0.01)
（だいこん類）　だいこん　根　皮なし　ゆで,94.8,(Tr),0.1,(0.04),(0.01),(Tr),(0.02),(0.02),(0.01)
（だいこん類）　切干しだいこん　乾,8.4,(0.3),0.8,(0.32),(0.10),(0.03),(0.19),(0.14),(0.04)
（だいこん類）　切干しだいこん　ゆで,94.6,(Tr),0.1,(0.05),(0.01),(Tr),(0.03),(0.02),(0.01)
（だいこん類）　切干しだいこん　油いため,84.5,(5.7),6.0,(5.48),(0.44),(3.48),(1.56),(0.48),(1.09)
（たいさい類）　つまみな　葉　生,92.3,0.1,0.3,0.12,0.03,0.01,0.08,0.06,0.01
（たいさい類）　たいさい　葉　生,93.7,(Tr),0.1,(0.04),(0.01),(Tr),(0.03),(0.02),(Tr)
（たいさい類）　たいさい　塩漬,90.9,(Tr),0.1,(0.04),(0.01),(Tr),(0.03),(0.02),(Tr)
たけのこ　若茎　生,90.8,(0.1),0.2,(0.14),(0.05),(Tr),(0.09),(0.01),(0.08)
たけのこ　若茎　ゆで,89.9,(0.1),0.2,(0.14),(0.05),(Tr),(0.09),(0.01),(0.08)
たけのこ　水煮缶詰,92.8,(0.1),0.2,(0.14),(0.05),(Tr),(0.09),(0.01),(0.08)
たけのこ　めんま　塩蔵　塩抜き,93.9,(0.4),0.5,(0.35),(0.12),(0.01),(0.22),(0.03),(0.19)
（たまねぎ類）　たまねぎ　りん茎　生,90.1,Tr,0.1,0.04,0.01,Tr,0.02,Tr,0.02
（たまねぎ類）　たまねぎ　りん茎　水さらし,93.0,(Tr),0.1,(0.04),(0.01),(Tr),(0.03),(Tr),(0.02)
（たまねぎ類）　たまねぎ　りん茎　ゆで,91.5,(Tr),0.1,(0.04),(0.01),(Tr),(0.03),(Tr),(0.02)
（たまねぎ類）　たまねぎ　りん茎　油いため,80.1,(5.7),5.9,(5.46),(0.42),(3.48),(1.55),(0.44),(1.11)
（たまねぎ類）　赤たまねぎ　りん茎　生,89.6,(Tr),0.1,(0.04),(0.01),(Tr),(0.03),(Tr),(0.02)
チンゲンサイ　葉　生,96.0,(0.1),0.1,(0.07),(0.01),(0.01),(0.05),(0.03),(0.02)
チンゲンサイ　葉　ゆで,95.3,(0.1),0.1,(0.07),(0.01),(0.01),(0.05),(0.03),(0.02)
チンゲンサイ　葉　油いため,92.6,(3.1),3.2,(2.98),(0.24),(1.88),(0.87),(0.27),(0.60)
とうがらし　葉･果実　生,86.7,(Tr),0.1,(0.04),(0.01),(Tr),(0.02),(0.01),(0.02)
とうがらし　葉･果実　油いため,79.5,(4.7),4.9,(4.51),(0.35),(2.89),(1.28),(0.37),(0.91)
とうがらし　果実　生,75.0,(1.3),3.4,(1.20),(0.39),(0.04),(0.77),(0.19),(0.58)
