食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
＜貝類＞　あさり　生,70,29,90.3,4.4,5.7,0.2,33,0.7,(0.4),(0.3),2.3,(0),-,0.4,-,2.7,800,140,66,92,82,2.2,0.9,0.05,0.07,56,35,3,8,2,2,14,Tr,15,4,0.1,0.4,0,0,0,1,0.01,0.16,1.3,2.2,0.03,44.8,11,0.37,21.6,1,-,2.0 
＜貝類＞　あさり　蒸し,60,32,89.5,(3.8),4.9,0.3,25,0.8,(0.6),(0.5),(3.7),-,-,0.4,-,2.8,790,130,64,94,79,2.1,0.9,0.05,0.10 ,59,35,3,8,3,2,20,1,21,5,0.1,0.4,-,-,-,1,0.01,0.15,1.2,(2.0),0.02,45.2,8,0.21,20.9,Tr,-,2.0 
＜貝類＞　あさり　つくだ煮,0,218,38.0,(16.1),20.8,1.0,61,2.4,-,-,36.2,(0),-,30.1,-,8.7,2900,270,260,79,300,19.0,2.8,0.18,0.94,-,-,-,-,26,25,190,0,200,43,(0),1.4,0,0,0,4,0.02,0.18,1.1,(4.4),0.09,15.0,42,0.40,-,0,-,7.4
＜貝類＞　あさり　缶詰　水煮,0,102,73.2,(15.7),20.3,0.9,89,2.2,(1.9),(1.7),7.8,(0),-,1.9,-,2.4,390,9,110,46,260,30.0,3.4,0.29,1.24,-,-,-,-,3,-,-,-,35,6,(0),2.7,0.1,0,0,3,Tr,0.09,0.8,(4.0),0.01,64.0,10,0,-,(0),-,1.0
＜貝類＞　あさり　缶詰　味付け,0,124,67.2,(12.8),16.6,0.9,77,1.9,-,-,16.3,(0),-,11.5,-,2.8,640,35,87,44,180,28.0,3.2,0.24,1.23,-,-,-,-,3,-,-,-,36,6,(0),2.3,0,0,0,4,Tr,0.06,1.2,(3.9),0.01,36.0,1,0,-,(0),-,1.6
＜貝類＞　あわび　くろあわび　生,55,76,79.5,11.2,14.3,0.3,110,0.8,3.7,3.3,7.2,(0),-,3.6,0.1,1.7,430,160,25,69,82,2.2,-,-,0.01,200,8,6,15,0,0,17,-,17,1,(0),0.3,0,0,0,-,0.15,0.09,0.8,2.6,0.02,0.4,20,2.44,1.2,1,-,1.1
＜貝類＞　あわび　まだかあわび　生,55,74,80.0,(11.5),14.6,0.1,100,0.4,(3.3),(2.9),6.8,(0),-,3.3,-,1.5,330,250,21,58,130,1.8,-,-,0.01,190,8,5,14,0,0,28,-,28,2,(0),1.1,0,0,0,-,0.02,0.10,1.5,(3.4),0.02,0.4,22,2.05,1.1,2,-,0.8
＜貝類＞　あわび　めがいあわび　生,55,74,80.1,8.8,12.2,0.1,110,0.3,(6.8),(6.1),9.4,(0),-,6.8,-,1.4,320,230,19,50,110,0.7,-,-,0.01,190,8,5,14,0,0,9,-,9,1,(0),0.3,0,0,0,-,0.16,0.09,1.1,2.5,0.02,0.4,29,1.71,1.1,1,-,0.8
＜貝類＞　あわび　干し,0,257,27.9,(29.7),38.0,0.6,390,1.6,(23.8),(21.4),33.0,(0),-,23.8,-,8.7,2900,490,39,110,300,2.0,1.6,0.74,0.05,-,-,-,-,0,0,45,2,47,4,(0),1.2,0,0,0,3,0.36,0.11,3.3,(8.2),0.05,2.4,87,0.71,-,Tr,-,7.4
＜貝類＞　あわび　塩辛,0,93,72.5,(11.6),14.8,2.6,190,3.9,(1.4),(1.3),5.9,(0),-,1.4,-,7.4,2600,180,55,88,160,34.0,2.2,0.25,0.11,-,-,-,-,Tr,-,-,-,700,58,(0),2.5,0,0,0,92,0.20,0.70,1.5,(3.4),0.10,12.0,130,1.13,-,(0),-,6.6
