食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
＜ケーキ・ペストリー類＞　パイ　アップルパイ,0,294,(45.0),(3.7),(4.0),(16.0),(1),(17.5),(39.5),(36.9),(33.1),(1.2),(0.1),(32.8),(0.1),(0.8),(180),(54),(5),(5),(17),(0.2),(0.1),(0.04),(0.09),(0),(5),(1),(4),(0),(0),(3),(2),(4),(Tr),(Tr),(1.2),(Tr),(1.4),(0.6),(1),(0.03),(0.01),(0.2),(0.6),(0.02),(0),(3),(0.15),(0.5),(1),-,(0.4)
＜ケーキ・ペストリー類＞　パイ　ミートパイ,0,381,(36.2),(8.9),(9.7),(27.4),(13),(29.9),(31.8),(29.0),(23.7),(1.8),(0),(22.2),(0.1),(2.0),(440),(110),(11),(11),(46),(0.5),(0.6),(0.07),(0.17),(0),(12),(1),(8),(1),(150),(350),(0),(420),(36),(0.1),(2.2),(0.1),(2.6),(1.1),(3),(0.14),(0.05),(1.1),(2.5),(0.07),(0.1),(7),(0.45),(1.2),(Tr),-,(1.1)
＜ケーキ・ペストリー類＞　バターケーキ,0,422,(20.0),(5.3),(5.8),(23.2),(160),(25.3),(50.8),(47.4),(49.8),(0.7),0,(48.0),-,(0.9),(240),(74),(22),(7),(67),(0.6),(0.4),(0.04),(0.12),(10),(8),(1),(5),(190),(1),(51),(5),(54),(200),(1.2),(0.8),(Tr),(0.2),0,(8),(0.05),(0.12),(0.2),(1.5),(0.03),(0.3),(16),(0.48),(7.0),0,-,(0.6)
＜ケーキ・ペストリー類＞　ホットケーキ,0,253,(40.0),(7.0),(7.7),(4.9),(77),(5.4),(47.4),(43.8),(45.2),(1.1),0,(45.3),(0.1),(1.6),(260),(210),(110),(13),(160),(0.5),(0.5),(0.05),(Tr),(12),(6),(3),(9),(51),0,(3),(2),(5),(52),(0.7),(0.5),(0.1),(0.2),(0.1),(3),(0.08),(0.16),(0.3),(2.1),(0.05),(0.3),(15),(0.68),(5.1),(Tr),-,(0.7)
＜ケーキ・ペストリー類＞　ワッフル　カスタードクリーム入り,0,241,(45.9),(6.6),(7.3),(7.0),(140),(7.9),(40.0),(37.0),(38.8),(0.8),(0),(38.1),(0.1),(0.9),(63),(160),(99),(12),(150),(0.8),(0.8),(0.05),(0.13),(24),(10),(Tr),(7),(110),(Tr),(4),(5),(7),(110),(1.7),(0.8),(0.1),(0.3),(0.1),(6),(0.08),(0.19),(0.2),(1.9),(0.07),(0.6),(25),(0.96),(10.2),(1),-,(0.2)
＜ケーキ・ペストリー類＞　ワッフル　ジャム入り,0,279,(33.0),(4.5),(4.9),(3.9),(53),(4.2),(59.6),(55.9),(56.6),(1.3),0,(57.3),(Tr),(0.6),(43),(120),(44),(10),(68),(0.4),(0.3),(0.04),(0.18),(7),(4),(1),(5),(31),(0),(1),(1),(2),(32),(0.5),(0.4),(Tr),(0.2),(0.1),(4),(0.05),(0.09),(0.3),(1.2),(0.04),(0.2),(22),(0.41),(3.5),(6),-,(0.1)
＜デザート菓子類＞　カスタードプリン,0,116,(74.1),(5.3),(5.7),(4.5),(120),(5.5),(14.5),(13.8),(15.3),0,0,(14.0),(0.1),(0.7),(69),(130),(81),(9),(110),(0.5),(0.6),(0.02),(0.01),(20),(9),0,(4),(87),(Tr),(4),(4),(6),(88),(1.4),(0.5),0,(0.1),0,(5),(0.04),(0.20),(0.1),(1.5),(0.05),(0.5),(18),(0.69),(8.4),(1),-,(0.2)
＜デザート菓子類＞　牛乳寒天,0,61,(85.2),(1.0),(1.1),(1.2),(4),(1.3),(12.1),(11.6),(11.9),(0.5),0,(12.2),(0.1),(0.2),(15),(51),(38),(4),(32),(0.1),(0.1),(Tr),(0.01),(6),(1),0,(1),(13),0,(2),0,(2),(13),(0.1),(Tr),0,0,0,(1),(0.01),(0.05),(Tr),(0.3),(0.01),(0.1),(2),(0.19),(0.6),(Tr),-,0
＜デザート菓子類＞　こんにゃくゼリー,0,65,(83.2),-,0,-,0,(0.1),11.6,11.5,(15.6),(0.8),(Tr),(16.4),-,(0.4),(58),(110),(15),(1),(37),(Tr),(Tr),(Tr),(0.01),0,0,(1),0,0,0,(1),(Tr),(2),0,0,0,0,0,0,0,(Tr),0,(Tr),(Tr),(Tr),0,0,0,(Tr),0,-,(0.1)
＜デザート菓子類＞　ゼリー　オレンジ,0,80,(77.6),(1.9),(2.1),(0.1),0,(0.1),(18.4),(17.8),(18.8),(0.2),0,(19.8),(1.0),(0.4),(5),(180),(9),(10),(17),(0.1),(0.1),(0.03),(0.03),(1),0,(1),(1),0,(7),(16),(50),(45),(4),0,(0.3),0,0,0,0,(0.07),(0.02),(0.3),(0.3),(0.06),0,(26),(0.22),(0.3),(40),-,0
＜デザート菓子類＞　ゼリー　コーヒー,0,43,(87.8),(1.4),(1.6),0,0,0,(10.1),(9.6),(10.5),0,-,(10.3),-,(0.1),(5),(47),(2),(5),(5),(Tr),0,(Tr),(0.02),0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,(Tr),(0.6),(0.6),0,0,0,(Tr),(1.1),0,-,0
＜デザート菓子類＞　ゼリー　ミルク,0,103,(76.8),(4.0),(4.3),(3.4),(12),(3.7),(14.8),(14.1),(14.9),0,0,(14.4),(0.1),(0.7),(43),(150),(110),(10),(91),(Tr),(0.4),(0.01),0,(16),(3),0,(4),(37),0,(6),0,(6),(37),(0.3),(0.1),0,0,0,(2),(0.04),(0.15),(0.1),(0.7),(0.03),(0.3),(5),(0.54),(1.8),(1),-,(0.1)
＜デザート菓子類＞　ゼリー　ワイン,0,65,(84.1),(1.7),(1.7),-,0,0,(13.7),(13.1),(13.2),0,-,(13.2),(Tr),(Tr),(5),(11),(1),(1),(1),(0.1),0,(Tr),(0.02),0,0,(Tr),0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,(Tr),(Tr),0,0,(0.01),(0.2),0,(0.9),0
＜デザート菓子類＞　ババロア,0,204,(60.9),(5.0),(5.6),(11.7),(150),(12.9),(20.8),(19.9),(21.6),0,0,(19.9),(0.1),(0.6),(52),(90),(72),(6),(130),(0.6),(0.6),(0.02),(0.01),(21),(7),(Tr),(5),(130),0,(21),(5),(24),(130),(1.6),(0.6),0,(0.2),0,(7),(0.04),(0.13),(Tr),(1.0),(0.05),(0.6),(20),(0.67),(8.4),(Tr),-,(0.1)
＜ビスケット類＞　ウエハース,0,439,2.1,(7.0),7.6,12.0,18,13.6,(80.1),(74.5),76.2,1.2,0,75.3,Tr,1.4,480,76,21,9,63,0.6,0.4,0.14,0.23,-,-,-,-,16,0,9,0,9,17,0,1.1,0.1,1.0,0.1,4,0.03,0.08,0.5,(2.2),0.02,Tr,6,0.24,-,0,-,1.2
＜ビスケット類＞　ウエハース　クリーム入り,0,492,(2.7),(7.0),(7.5),(20.7),(1),(21.8),(72.9),(68.1),(65.4),(2.1),(0),(65.5),(Tr),(2.1),(370),(58),(16),(7),(48),(0.5),(0.3),(0.11),(0.18),(0),(0),(0),(0),(12),(0),(7),(0),(7),(13),(Tr),(1.9),(0.1),(2.2),(0.6),(4),(0.02),(0.06),(0.4),(1.6),(0.02),(0),(5),(0.18),(0),(0),-,(0.9)
＜ビスケット類＞　クラッカー　オイルスプレークラッカー,0,481,2.7,(7.7),8.5,21.1,-,22.5,-,-,64.1,2.1,-,63.9,-,2.4,610,110,180,18,190,0.8,0.5,0.12,0.49,0,3,2,10,(0),-,-,-,(0),(0),-,12.0,0.4,1.9,0.8,4,0.08,0.04,0.8,(2.5),0.04,-,12,0.45,1.7,(0),-,1.5
＜ビスケット類＞　クラッカー　ソーダクラッカー,0,421,3.1,(9.6),10.4,9.3,-,9.8,-,-,73.6,2.1,-,74.4,-,2.3,730,140,55,21,85,0.7,0.4,0.14,0.55,-,-,-,-,(0),-,-,-,(0),(0),-,1.5,0.3,0.6,0.2,1,0.05,0.04,0.8,(2.9),0.04,-,22,0.54,-,(0),-,1.9
＜ビスケット類＞　サブレ,0,459,(3.1),(5.7),(6.1),(16.1),(54),(16.6),(77.2),(71.7),(73.2),(1.3),0,(73.5),-,(0.7),(73),(110),(36),(8),(84),(0.5),(0.3),(0.06),(0.23),(5),(6),(1),(7),(30),(0),(Tr),(2),(1),(30),(0.6),(1.7),(0.1),(1.8),(0.7),(3),(0.07),(0.07),(0.3),(1.7),(0.03),(0.2),(12),(0.45),(4.1),(0),-,(0.2)
＜ビスケット類＞　中華風クッキー,0,513,(3.0),(4.5),(5.1),(27.6),(75),(29.5),(65.2),(60.7),(63.2),(1.1),0,(61.8),-,(0.6),(97),(81),(25),(6),(63),(0.4),(0.3),(0.05),(0.19),(4),(5),(1),(6),(27),0,0,(2),(1),(27),(0.5),(0.4),(0.1),(0.1),0,(4),(0.06),(0.06),(0.3),(1.4),(0.02),(0.1),(10),(0.37),(3.6),0,-,(0.2)
＜ビスケット類＞　ビスケット　ハードビスケット,0,422,2.6,6.4,7.6,8.9,10,10.0,78.0,71.9,77.8,2.3,-,77.8,-,2.0,320,140,330,22,96,0.9,0.5,0.12,0.58,4,4,2,9,18,0,6,0,6,18,Tr,0.9,0.3,0.8,0.4,2,0.13,0.22,1.0,2.4,0.06,-,16,0.63,2.2,(0),-,0.8
＜ビスケット類＞　ビスケット　ソフトビスケット,0,512,3.2,(5.3),5.7,23.9,58,27.6,(72.6),(67.0),65.3,1.4,0,62.6,Tr,0.9,220,110,20,12,66,0.5,0.4,0.08,0.33,3,4,1,9,130,0,180,0,180,150,Tr,2.2,0.2,1.7,0.6,6,0.06,0.05,0.6,(1.8),0.04,-,7,0.45,2.3,(0),-,0.6
＜ビスケット類＞　プレッツェル,0,465,1.0,(8.6),9.9,16.8,-,18.6,-,-,68.8,2.6,-,68.2,-,2.3,750,160,36,22,140,0.9,0.5,0.12,0.43,-,-,-,-,(0),3,53,10,59,5,-,2.6,0.3,3.8,0.9,7,0.13,0.11,1.1,(3.1),0.06,-,27,0.51,-,-,-,1.9
＜ビスケット類＞　リーフパイ,0,558,2.5,(5.2),5.8,(34.7),1,35.5,(59.1),(53.9),55.5,1.7,0,55.8,-,0.4,54,77,14,8,42,0.4,0.2,0.06,0.30,Tr,3,1,8,0,-,-,-,0,0,Tr,3.5,0.2,4.3,1.7,2,0.08,0.02,0.4,(1.6),0.02,0,6,0.37,0.8,0,-,0.1
＜ビスケット類＞　ロシアケーキ,0,486,(4.0),(5.4),(5.8),(22.9),(1),(23.4),(67.8),(63.3),(64.9),(1.8),0,(65.8),0,(1.0),(200),(140),(41),(32),(75),(0.5),(0.4),(0.14),(0.37),(Tr),(3),(1),(4),(1),0,(1),0,(1),(1),(Tr),(4.5),(0.1),(2.3),(0.9),(1),(0.06),(0.14),(0.6),(1.8),(0.02),(Tr),(9),(0.27),(1.0),0,-,(0.5)
＜スナック類＞　小麦粉あられ,0,472,(2.0),(7.0),(7.6),(18.4),(1),(19.5),(72.9),(66.3),(68.2),(2.3),-,(68.8),-,(2.2),(710),(100),(18),(11),(55),(0.5),(0.3),(0.08),(0.39),(Tr),(4),(2),(11),0,-,-,-,0,0,(Tr),(2.0),(0.2),(2.3),(0.9),(1),(0.10),(0.03),(0.5),(1.8),(0.03),0,(8),(0.48),(1.1),0,-,(1.8)
＜スナック類＞　コーンスナック,0,516,0.9,(4.7),5.2,25.4,(0),27.1,-,-,66.4,1.0,-,65.3,-,1.5,470,89,50,13,70,0.4,0.3,0.05,0.08,-,-,-,-,(0),12,84,79,130,11,-,3.7,0.1,3.8,1.8,-,0.02,0.05,0.7,(1.3),0.06,-,8,0.30,-,(0),-,1.2
＜スナック類＞　ポテトチップス　ポテトチップス,0,541,2.0,(4.4),4.7,(34.2),Tr,35.2,-,-,51.8,4.2,-,54.7,-,3.4,400,1200,17,70,100,1.7,0.5,0.21,0.40,260,0,3,10,(0),-,-,-,(0),(0),-,6.2,0.3,0.8,0.1,-,0.26,0.06,4.3,(5.6),-,-,70,0.94,1.6,15,-,1.0
＜スナック類＞　ポテトチップス　成形ポテトチップス,0,515,2.2,(6.3),5.8,28.8,-,32.0,-,-,55.2,4.8,-,57.3,-,2.7,360,900,49,53,140,1.2,0.7,0.20,0.30,-,-,-,-,0,0,0,0,0,0,-,2.6,0.1,0.7,0.8,4,0.25,0.05,4.2,(5.2),0.54,-,36,1.08,-,9,-,0.9
＜キャンデー類＞　かわり玉,0,392,(0.5),-,0,-,0,0,(104.4),(99.5),(99.5),0,-,(99.5),-,0,(1),(2),(1),0,0,0,0,(0.01),0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.1),0,-,0
＜キャンデー類＞　キャラメル,0,426,5.4,(3.4),4.0,10.4,14,11.7,-,-,(79.8),0,-,77.9,-,1.0,110,180,190,13,100,0.3,0.4,0.03,0.06,14,3,1,6,110,0,15,0,15,110,3.0,0.5,Tr,0.9,0.5,3,0.09,0.18,1.1,2.0,0.02,-,5,0.58,2.7,(0),-,0.3
＜キャンデー類＞　ゼリーキャンデー,0,334,(16.0),(Tr),(Tr),0,0,0,(88.7),(83.1),(83.1),(0.9),0,(83.9),-,(0.1),(2),(1),(8),(1),(1),(0.1),(Tr),(0.01),(0.04),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.01),0,0,-,0
＜キャンデー類＞　ゼリービーンズ,0,358,(9.5),(Tr),(Tr),0,0,(Tr),(95.0),(89.5),(89.5),(0.9),0,(90.4),-,(0.1),(2),(6),(10),(2),(6),(0.2),(Tr),(0.01),(0.04),0,0,(1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.01),(Tr),0,-,0
＜キャンデー類＞　ドロップ,0,389,(2.0),-,0,-,0,0,(103.8),(98.0),(98.0),0,-,(98.0),-,(Tr),(1),(1),(1),0,(Tr),(Tr),0,(0.01),(Tr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(Tr),0,-,0
＜キャンデー類＞　バタースコッチ,0,414,(2.0),(Tr),(Tr),(6.0),(17),(6.5),(95.9),(91.1),(91.5),0,-,(91.0),-,(0.4),(150),(4),(2),(Tr),(2),(Tr),0,(0.01),(Tr),0,0,0,(Tr),(61),0,(15),0,(15),(62),(0.1),(0.1),0,0,0,(2),0,(Tr),0,0,0,0,0,(0.01),(0.1),0,-,(0.4)
＜キャンデー類＞　ブリットル,0,506,(1.5),(11.8),(12.6),(27.0),0,(26.5),(55.5),(52.5),(54.6),(3.6),0,(58.1),(0.2),(1.4),(72),(380),(26),(100),(200),(0.9),(1.5),(0.35),(1.08),(Tr),(1),0,(48),0,0,(2),(2),(3),0,0,(5.4),(0.2),(3.7),(0.2),0,(0.12),(0.07),(12.0),(14.0),(0.23),0,(29),(1.10),(53.0),0,-,(0.2)
＜キャンデー類＞　マシュマロ,0,324,(18.5),(2.1),(2.1),-,0,0,(84.1),(79.3),(79.4),0,-,(79.3),-,(Tr),(7),(1),(1),0,(1),(0.1),0,(0.01),(Tr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(Tr),(Tr),0,-,0
＜キャンデー類＞　ラムネ,0,373,7.0,-,0,-,(0),0.5,-,-,92.2,(0),-,92.2,-,0.3,67,5,110,2,5,0.1,0,0.05,0,1,0,1,Tr,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),0,0,0,0,0,0,Tr,0,0,2,-,0.2
＜チョコレート類＞　アーモンドチョコレート,0,562,(2.0),(10.4),(11.4),(39.6),(12),(40.4),(40.1),(38.2),(38.8),(6.1),0,(43.3),(0.2),(2.2),(41),(550),(240),(150),(320),(2.8),(2.3),(0.77),(1.14),(12),(4),(15),(7),(41),(3),(26),(1),(28),(43),(0.6),(11.0),(0.1),(4.5),(0.3),(4),(0.19),(0.64),(2.1),(4.3),(0.10),0,(35),(1.18),(4.9),0,-,(0.1)
＜チョコレート類＞　カバーリングチョコレート,0,488,(2.0),(6.0),(7.1),(23.1),(15),(24.3),(66.4),(62.2),(63.1),(3.2),(0),(64.2),(0.2),(1.9),(140),(320),(160),(50),(180),(1.6),(1.1),(0.36),(0.38),(12),(5),(15),(10),(40),(2),(21),(0),(23),(42),(0.6),(0.9),(0.1),(4.5),(0.5),(4),(0.15),(0.27),(0.9),(2.4),(0.08),(Tr),(14),(1.14),(5.0),(0),-,(0.3)
＜チョコレート類＞　スイートチョコレート,0,530,0.6,4.2,5.8,34.6,4,37.7,48.0 ,45.6,46.7,7.7,-,52.6,2.8,1.5,9,430,60,130,210,4.0 ,1.8,0.91,0.94,2,4,45,9,6,7,20,2,24,8,1.5,0.8,Tr,8.4,0.3,6,0.12,0.11,0.8,2.0 ,0.05,0.1,10,0.20 ,6.6,0,-,0
＜チョコレート類＞　スイートチョコレート　カカオ増量,0,539,0.9,6.3,8.9,38.4,2,41.3,30.7,29.1,35.2,13.1,-,43.3,0.6,2.6,3,900,71,220,320,9.3,3.2,1.74,1.85,1,7,94,18,1,8,24,2,29,3,1.7,0.5,Tr,9.5,0.2,7,0.15,0.11,1.3,3.1,0.06,0.1,17,0.19,10.7,0,-,0
＜チョコレート類＞　ホワイトチョコレート,0,588,0.8,-,7.2,37.8,22,39.5,(58.2),(55.4),52.0,0.6,-,50.9,-,1.6,92,340,250,24,210,0.1,0.8,0.02,0.02,20,5,1,8,47,4,38,0,39,50,Tr,0.8,Tr,5.8,0.5,9,0.08,0.39,0.2,1.4,0.05,-,8,1.05,4.4,-,-,0.2
＜チョコレート類＞　ミルクチョコレート,0,550,0.5,(5.8),6.9,32.8,19,34.1,(59.3),(56.5),53.9,3.9,0,55.8,0.3,1.8,64,440,240,74,240,2.4,1.6,0.55,0.41,19,6,24,11,63,4,35,0,37,66,1.0,0.7,Tr,6.5,0.4,6,0.19,0.41,1.2,(2.8),0.11,-,18,1.56,7.6,(0),-,0.2
＜果実菓子類＞　マロングラッセ,0,303,21.0,(0.9),1.1,(0.2),(0),0.3,(79.1),(75.0),77.6,-,0,77.4,-,0.2,28,60,8,-,20,0.6,-,-,-,-,-,-,-,0,-,-,-,10,1,(0),-,-,-,-,-,-,0.03,0.1,(0.3),-,-,-,-,-,0,-,0.1
＜チューインガム類＞　板ガム,20,388,(3.1),-,0,-,0,0,-,-,(96.9),0,-,(96.9),-,(Tr),(3),(3),(3),-,(Tr),(0.1),-,-,-,-,-,-,-,0,-,-,-,0,0,(0),-,-,-,-,-,0,0,0,0,-,-,-,-,-,0,-,0
＜チューインガム類＞　糖衣ガム,20,390,(2.4),-,0,-,0,0,-,-,(97.6),0,-,(97.6),-,(Tr),(2),(4),(1),-,(Tr),(0.1),-,-,-,-,-,-,-,0,-,-,-,0,0,(0),-,-,-,-,-,0,0,0,0,-,-,-,-,-,0,-,0
＜チューインガム類＞　風船ガム,25,387,(3.3),-,0,-,0,0,-,-,(96.7),0,-,(96.7),-,(Tr),(3),(4),(3),-,(Tr),(0.1),-,-,-,-,-,-,-,0,-,-,-,0,0,(0),-,-,-,-,-,0,0,0,0,-,-,-,-,-,0,-,0
＜その他＞　カスタードクリーム,0,174,(61.8),(4.4),(5.1),(6.5),(180),(7.6),(26.1),(24.6),(26.3),(0.2),0,(24.8),(0.1),(0.7),(34),(120),(93),(9),(140),(0.7),(0.9),(0.02),(0.04),(18),(10),0,(5),(120),0,(5),(14),(12),(120),(1.9),(2.5),(Tr),(0.3),0,(7),(0.07),(0.16),(0.1),(1.3),(0.07),(0.6),(26),(0.83),(11.0),(1),-,(0.1)
＜その他＞　しるこ　こしあん,0,211,(46.1),(4.0),(4.7),(0.1),0,(0.3),(50.0),(47.1),(46.3),(3.2),0,(48.7),-,(0.2),(2),(29),(35),(14),(40),(1.3),(0.5),(0.11),(0.35),0,0,(Tr),(28),0,0,0,0,0,0,0,0,0,(0.7),(1.8),(3),(0.01),(0.02),(Tr),(0.9),0,0,(1),(0.03),(1.2),0,-,0
＜その他＞　しるこ　つぶしあん,0,179,(54.5),(3.6),(4.2),(0.2),0,(0.4),(41.0),(38.6),(37.0),(4.3),0,(40.5),-,(0.4),(42),(120),(14),(17),(55),(1.1),(0.5),(0.15),(0.30),0,0,(1),(37),0,0,0,0,0,0,0,(0.1),-,(0.7),(1.4),(4),(0.01),(0.02),(0.1),(0.8),(0.02),0,(6),(0.13),(1.3),-,-,(0.1)
＜その他＞　チョコレートクリーム,0,481,(14.6),(4.0),(4.6),(30.6),(15),(32.0),(50.1),(47.0),(48.8),(0.6),0,(47.3),-,(1.2),(200),(310),(160),(26),(150),(0.6),(0.6),(0.10),(0.07),(10),(2),(6),(4),(45),(1),(89),0,(95),(53),(3.2),(4.3),(0.2),(11.0),(1.7),(16),(0.07),(0.23),(0.3),(1.1),(0.03),(0.3),(3),(0.77),(1.8),(1),-,(0.5)
＜アルコール飲料類＞　（醸造酒類）　清酒　普通酒,0,107,82.4,0.3,0.4,0,0,Tr,2.5,2.5,5.0,0,-,4.9,-,Tr,2,5,3,1,7,Tr,0.1,Tr,0.16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0,0,Tr,0.07,0,0,0,0,0,12.3,0
＜アルコール飲料類＞　（醸造酒類）　清酒　純米酒,0,102,83.7,(0.3),0.4,0,0,Tr,(2.3),(2.3),3.7,0,-,3.6,-,Tr,4,5,3,1,9,0.1,0.1,Tr,0.18,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0,0,(Tr),0.12,0,0,0.02,-,0,12.3,0
＜アルコール飲料類＞　（醸造酒類）　清酒　本醸造酒,0,106,82.8,(0.3),0.4,0,0,0,(2.6),(2.6),4.6,0,-,4.5,-,Tr,2,5,3,1,8,Tr,0.1,Tr,0.19,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0,0,(Tr),0.09,0,0,0,-,0,12.3,0
＜アルコール飲料類＞　（醸造酒類）　清酒　吟醸酒,0,103,83.6,(0.2),0.3,0,0,0,(2.4),(2.4),3.7,0,-,3.6,-,Tr,2,7,2,1,7,Tr,0.1,0.01,0.16,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(Tr),0.12,0,0,0.06,-,0,12.5,0
＜アルコール飲料類＞　（醸造酒類）　清酒　純米吟醸酒,0,102,83.5,(0.3),0.4,0,0,0,(2.5),(2.5),4.2,0,-,4.1,-,Tr,3,5,2,1,8,Tr,0.1,0.01,0.20,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(Tr),0.14,0,0,0.06,-,0,12.0,0
＜アルコール飲料類＞　（醸造酒類）　ビール　淡色,0,39,92.8,0.2,0.3,0,0,0,Tr,Tr,3.1,0,-,3.1,0.1,0.1,3,34,3,7,15,Tr,Tr,Tr,0.01,1,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.8,0.9,0.05,0.1,7,0.08,0.9,0,3.7,0
＜アルコール飲料類＞　（醸造酒類）　ビール　黒,0,45,91.6,(0.3),0.4,0,0,Tr,-,-,3.5,0.2,-,3.6,-,0.2,3,55,3,10,33,0.1,Tr,Tr,0.02,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1.0,(1.1),0.07,Tr,9,0.04,-,0,4.2,0
＜アルコール飲料類＞　（醸造酒類）　ビール　スタウト,0,62,88.4,(0.3),0.5,0,0,Tr,-,-,4.8,0.3,-,4.9,-,0.3,4,65,3,14,43,0.1,Tr,Tr,0.06,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1.0,(1.1),0.06,Tr,10,0.12,-,0,5.9,0
＜アルコール飲料類＞　（醸造酒類）　発泡酒,0,44,92.0,(0.1),0.1,0,0,0,0,0,3.6,0,-,3.6,-,0.1,1,13,4,4,8,0,Tr,Tr,0.01,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.3,(0.3),0.01,0,4,0.10,-,0,4.2,0
＜アルコール飲料類＞　（醸造酒類）　ぶどう酒　白,0,75,88.6,-,0.1,-,(0),Tr,(2.5),(2.2),1.4,-,-,2.0,0.6,0.2,3,60,8,7,12,0.3,Tr,0.01,0.09,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),0,0,0.1,0.1,0.02,0,0,0.07,-,0,9.1,0
＜アルコール飲料類＞　（醸造酒類）　ぶどう酒　赤,0,68,88.7,-,0.2,-,(0),Tr,(0.2),(0.2),1.0,-,-,1.5,0.5,0.3,2,110,7,9,13,0.4,Tr,0.02,0.15,Tr,0,2,1,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),0,0.01,0.1,0.1,0.03,0,0,0.07,1.9,0,9.3,0
＜アルコール飲料類＞　（醸造酒類）　ぶどう酒　ロゼ,0,71,87.4,-,0.1,0,0,Tr,(2.5),(2.5),3.4,0,-,4.0,0.6,Tr,4,60,10,7,10,0.4,Tr,0.02,0.10,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.02,0,0,0,-,0,8.5,0
＜アルコール飲料類＞　（醸造酒類）　紹興酒,0,126,78.8,-,1.7,-,(0),Tr,-,-,5.1,Tr,-,5.1,-,0.3,15,55,25,19,37,0.3,0.4,0.02,0.49,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),Tr,0.03,0.6,0.9,0.03,Tr,1,0.19,-,0,14.1,0
＜アルコール飲料類＞　（蒸留酒類）　しょうちゅう　連続式蒸留しょうちゅう,0,203,71.0,-,0,-,(0),0,-,-,0,(0),-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),0,(0),(0),(0),(0),-,(0),29.0,(0)
＜アルコール飲料類＞　（蒸留酒類）　しょうちゅう　単式蒸留しょうちゅう,0,144,79.5,-,0,-,(0),0,-,-,0,(0),-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),0,(0),(0),(0),(0),-,(0),20.5,-
＜アルコール飲料類＞　（蒸留酒類）　しょうちゅう　泡盛,0,206,70.6,-,Tr,-,-,Tr,-,-,0,-,-,0,-,0,1,1,Tr,0,0,Tr,0,Tr,Tr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,29.3,0
＜アルコール飲料類＞　（蒸留酒類）　ウイスキー,0,234,66.6,-,0,-,(0),0,-,-,0,(0),-,0,-,0,2,1,0,0,Tr,Tr,Tr,0.01,0,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),0,(0),(0),(0),(0),-,(0),33.4,0
