名前,エネルギー,ビタミンA,ビタミンC,ビタミンD,ビタミンE,ビタミンK,ナイアシン,パントテン酸,ビオチン,ビタミンB₁,ビタミンB₁₂,ビタミンB₂,ビタミンB₆,葉酸,カリウム,カルシウム,クロム,セレン,マグネシウム,マンガン,モリブデン,ヨウ素,リン,亜鉛,鉄,銅,食塩相当量,たんぱく質,炭水化物,脂質,n-3系脂肪酸,n-6系脂肪酸,飽和脂肪酸,食物繊維
＜魚類＞　ちか　生,82,4,Tr,1,0.9,(0),(6.2),0.71,-,0,5.4,0.14,0.19,7,340,35,-,-,41,0.03,-,-,240,1.3,0.3,0.08,0.6,(16.2),(Tr),0.6,0.19,0.01,0.09,(0)
＜魚類＞　どじょう　生,72,15,1,4,0.6,1,6.7,0.66,-,0.09,8.5,1.09,0.10,16,290,1100,-,-,42,0.38,-,-,690,2.9,5.6,0.08,0.2,13.5,(Tr),1.2,0.09,0.13,0.16,(0)
＜魚類＞　どじょう　水煮,76,15,Tr,5.5,0.4,1,(7.1),0.43,-,0.08,6.3,1.00,0.08,11,330,1200,-,-,47,0.43,-,-,750,3.1,6.4,0.06,0.3,(14.3),(Tr),1.2,0.09,0.12,0.15,(0)
＜魚類＞　とびうお　生,89,3,1,2,2.3,(0),11.0,0.42,-,0.01,3.3,0.10,0.47,8,320,13,-,-,37,0.01,-,-,340,0.8,0.5,0.06,0.2,18.0,(0.1),0.7,0.20,0.02,0.15,(0)
＜魚類＞　とびうお　煮干し,325,9,0,3.9,4.0,1,32.0,0.62,14.0,0,13.0,0.32,0.24,22,1200,1200,1,120,170,0.10,2,42,1300,3.3,2.2,0.20,1.5,68.0,(0.1),2.2,0.46,0.07,0.37,(0)
＜魚類＞　とびうお　焼き干し,309,17,0,3.3,2.4,1,29.0,0.82,14.0,Tr,15.0,0.32,0.21,40,1100,3200,4,140,200,0.26,4,62,2300,5.4,2.7,0.23,1.8,61.5,(0.1),3.3,0.49,0.08,0.56,(0)
＜魚類＞　ナイルティラピア　生,124,3,1,11.0,1.9,(0),6.8,1.08,-,0.04,2.3,0.20,0.67,5,370,29,-,-,24,0.01,-,-,180,0.4,0.5,0.02,0.2,17.0,(0.2),5.3,0.46,0.61,1.41,(0)
＜魚類＞　なまず　生,145,71,0,4,6.3,(0),(4.2),0.81,-,0.33,2.3,0.10,0.16,10,320,18,-,-,23,0.02,-,-,170,0.6,0.4,0.03,0.1,(15.5),(Tr),8.6,0.96,0.75,1.76,(0)
＜魚類＞　にぎす　生,84,75,1,Tr,0.5,(0),(6.9),0.77,-,0.12,3.4,0.26,0.15,8,320,70,-,-,27,0.01,-,-,220,0.4,0.4,0.03,0.5,(15.5),(0.1),1.2,0.32,0.04,0.25,(0)
＜魚類＞　にしん　生,196,18,Tr,22.0,3.1,(0),7.3,1.06,-,0.01,17.0,0.23,0.42,13,350,27,-,-,33,0.02,-,-,240,1.1,1.0,0.09,0.3,14.8,(0.1),15.1,2.13,0.26,2.97,(0)
＜魚類＞　にしん　身欠きにしん,224,(Tr),(0),50.0,2.7,(0),(8.6),1.24,-,0.01,13.0,0.03,0.21,12,430,66,-,-,38,0.04,-,-,290,1.3,1.5,0.10,0.4,(17.8),(0.2),16.7,1.70,0.48,3.46,(0)
＜魚類＞　にしん　開き干し,239,(Tr),(0),36.0,2.1,(0),(8.2),1.28,-,0.01,9.0,0.03,0.25,7,350,25,-,-,33,0.02,-,-,260,1.0,1.9,0.11,0.9,(15.7),(0.2),19.7,2.77,0.26,3.85,(0)
＜魚類＞　にしん　くん製,280,(Tr),(0),48.0,0.5,(0),(9.3),1.74,-,0.01,15.0,0.35,0.10,16,280,150,-,-,36,0.03,-,-,400,1.1,3.5,0.16,9.9,(19.6),(Tr),22.1,2.52,0.39,4.53,(0)
＜魚類＞　にしん　かずのこ　生,139,15,Tr,13.0,5.1,Tr,(10.0),1.37,-,0.15,11.0,0.22,0.26,120,210,50,-,-,34,0.06,-,-,140,2.3,1.2,0.07,0.8,(27.1),(0.2),6.7,1.37,0.08,0.85,(0)
＜魚類＞　にしん　かずのこ　乾,358,7,0,32.0,6.4,0,(22.0),1.13,-,Tr,4.8,0.07,0.28,23,46,65,-,-,150,0.07,-,-,500,5.4,1.9,0.08,3.6,(70.1),(0.5),13.6,3.39,0.13,2.37,(0)
＜魚類＞　にしん　かずのこ　塩蔵　水戻し,80,2,0,17.0,0.9,0,(5.2),0,-,Tr,4.5,0.01,0.04,0,2,8,-,-,4,0.02,-,-,94,1.3,0.4,0.06,1.2,(16.1),(0.6),3.0,0.48,0.03,0.52,(0)
＜魚類＞　はぜ　生,78,7,1,3,1.0,(0),4.8,0.42,-,0.04,2.7,0.04,0.07,8,350,42,-,-,27,0.10,-,-,190,0.6,0.2,0.02,0.2,16.1,(0.1),0.2,0.03,0.01,0.03,(0)
＜魚類＞　はぜ　つくだ煮,277,160,0,5,2.4,(0),(6.7),0.79,-,0.11,6.8,0.41,0.06,230,480,1200,-,-,73,1.20,-,-,820,3.2,12.0,0.08,5.6,(20.5),-,3.0,0.46,0.19,0.53,(0)
＜魚類＞　はぜ　甘露煮,260,22,0,6,0.6,(0),(4.7),0.23,-,0.05,5.8,0.11,0.03,15,200,980,-,-,58,1.27,-,-,650,2.7,4.2,0.05,3.8,(17.8),-,2.2,0.28,0.10,0.38,(0)
＜魚類＞　はたはた　生,101,20,0,2,2.2,(0),5.6,0.50,3.3,0.02,1.7,0.14,0.08,7,250,60,Tr,37,18,-,0,32,120,0.6,0.5,0.06,0.5,12.8,(Tr),5.7,1.09,0.24,0.92,(0)
＜魚類＞　はたはた　生干し,154,22,3,1,2.8,(0),3.7,0.50,3.6,0.05,3.5,0.05,0.08,11,240,17,1,37,23,0.01,0,37,180,0.8,0.3,0.04,1.3,14.8,(Tr),10.3,2.61,0.37,2.01,(0)
＜魚類＞　はまふえふき　生,85,8,Tr,11.0,0.6,(0),(10.0),0.40,-,0.15,3.7,0.07,0.30,3,450,43,-,-,29,0,-,-,250,0.5,0.3,0.03,0.2,(17.0),(0.1),0.3,0.04,0.03,0.07,(0)
＜魚類＞　はも　生,132,59,1,5,1.1,(0),7.8,0.46,-,0.04,1.9,0.18,0.23,21,450,79,-,-,29,0.07,-,-,280,0.6,0.2,0.03,0.2,18.9,(Tr),5.3,1.25,0.20,1.36,(0)
＜魚類＞　ひらまさ　生,128,19,3,5,1.4,(0),(12.0),0.26,-,0.20,2.1,0.14,0.52,8,450,12,-,-,36,0.01,-,-,300,0.7,0.4,0.04,0.1,(18.8),(0.1),4.9,1.04,0.14,1.09,(0)
＜魚類＞　ひらめ　天然　生,96,12,3,3,0.6,(0),(8.6),0.82,-,0.04,1.0,0.11,0.33,16,440,22,-,-,26,0.01,-,-,240,0.4,0.1,0.03,0.1,(17.6),(Tr),2.0,0.51,0.08,0.43,(0)
＜魚類＞　ひらめ　養殖　皮つき　生,115,19,5,1.9,1.6,-,10.0,0.89,10.0,0.12,1.5,0.34,0.44,13,440,30,Tr,47,30,0.03,0,8,240,0.5,0.1,0.02,0.1,19.0,(Tr),3.7,0.89,0.25,0.80,(0)
＜魚類＞　ひらめ　養殖　皮なし　生,100,9,10,2.3,1.6,-,11.0,0.86,8.4,0.22,1.1,0.07,0.48,12,470,8,0,41,31,0.01,(0),11,230,0.3,0.1,0.02,0.1,17.5,(0.1),2.5,0.55,0.16,0.49,(0)
＜魚類＞　（ふぐ類）　とらふぐ　養殖　生,80,3,Tr,4,0.8,(0),(9.6),0.36,-,0.06,1.9,0.21,0.45,3,430,6,-,-,25,0.01,-,-,250,0.9,0.2,0.02,0.3,(15.9),(0.2),0.3,0.08,0.02,0.06,(0)
＜魚類＞　（ふぐ類）　まふぐ　生,78,7,0,6,0.6,(0),11.0,0.23,-,0.04,3.0,0.17,0.50,3,470,5,-,-,24,0,-,-,260,1.5,0.2,0.02,0.2,15.6,(Tr),0.4,0.11,0.02,0.07,(0)
＜魚類＞　ふな　生,93,12,1,4,1.5,(0),5.3,0.69,-,0.55,5.5,0.14,0.11,14,340,100,-,-,23,0.02,-,-,160,1.9,1.5,0.04,0.1,15.3,(0.1),2.5,0.50,0.12,0.52,(0)
＜魚類＞　ふな　水煮,104,15,Tr,3.8,1.5,(0),(5.0),0.71,-,0.49,4.4,0.12,0.10,8,310,140,-,-,24,0.02,-,-,230,2.1,1.5,0.04,0.1,(17.1),(0.1),2.8,0.52,0.14,0.59,(0)
＜魚類＞　ふな　甘露煮,266,61,0,2,0.5,(0),(3.9),0.24,-,0.16,6.7,0.16,0.03,13,240,1200,-,-,58,0.62,-,-,710,5.2,6.5,0.11,3.3,(13.1),-,3.6,0.33,0.71,0.60,(0)
＜魚類＞　ふな　ふなずし,181,43,0,3.6,4.6,4,4.1,0.14,28.0,Tr,7.4,0.07,0.03,15,64,350,1,48,20,0.34,36,24,240,2.9,0.9,0.23,3.9,19.1,-,7.9,1.18,0.74,1.50,0
＜魚類＞　ぶり　成魚　生,222,50,2,8,2.0,(0),14.0,1.01,7.7,0.23,3.8,0.36,0.42,7,380,5,Tr,57,26,0.01,0,24,130,0.7,1.3,0.08,0.1,18.6,(0.3),17.6,3.35,0.37,4.42,(0)
＜魚類＞　ぶり　成魚　焼き,260,42,2,5.4,2.1,(0),(15.0),1.38,-,0.24,3.8,0.39,0.38,6,440,6,-,-,28,0.01,-,-,170,0.9,2.3,0.10,0.1,(22.7),(0.3),20.4,3.73,0.41,4.87,(0)
＜魚類＞　ぶり　はまち　養殖　皮つき　生,217,32,2,4,4.6,-,13.0,0.99,6.4,0.16,4.6,0.21,0.45,9,340,19,Tr,32,29,0.01,0,14,210,0.8,1.0,0.09,0.1,17.8,(0.3),17.2,1.88,1.08,3.96,(0)
＜魚類＞　ぶり　はまち　養殖　皮なし　生,180,41,3,4.4,5.5,-,12.0,0.99,6.4,0.17,6.6,0.23,0.53,9,390,5,0,35,29,0.01,(0),14,220,0.5,1.1,0.10,0.1,17.6,(0.3),12.0,1.66,0.84,2.81,(0)
＜魚類＞　ほうぼう　生,110,9,3,3,0.5,(0),(8.6),0.82,-,0.09,2.2,0.15,0.44,5,380,42,-,-,34,0.05,-,-,200,0.5,0.4,0.04,0.3,(16.2),(Tr),4.2,0.73,0.12,0.96,(0)
＜魚類＞　ホキ　生,78,43,0,1,0.9,(0),(4.4),0.42,-,0.03,0.7,0.16,0.07,13,330,20,-,-,24,0.01,-,-,160,0.4,0.3,0.02,0.4,(14.1),(Tr),1.3,0.26,0.03,0.24,(0)
＜魚類＞　ほっけ　生,103,25,1,3,1.7,(0),5.5,1.16,-,0.09,11.0,0.17,0.17,9,360,22,-,-,33,0.01,-,-,220,1.1,0.4,0.10,0.2,15.4,(0.1),4.4,1.09,0.10,0.70,(0)
＜魚類＞　ほっけ　塩ほっけ,113,20,Tr,3,0.7,(0),(6.0),0.79,-,0.10,7.3,0.27,0.18,2,350,20,-,-,30,0.01,-,-,220,0.4,0.5,0.04,3.6,(16.1),(0.1),4.9,0.97,0.11,1.03,(0)
＜魚類＞　ほっけ　開き干し　生,161,30,4,4.6,1.3,-,7.1,0.65,3.7,0.10,5.3,0.24,0.21,7,390,170,1,31,37,0.03,0,15,330,0.9,0.5,0.05,1.8,18.0,(0.1),9.4,2.14,0.20,1.99,(0)
＜魚類＞　ほっけ　開き干し　焼き,179,39,2,3.5,1.6,-,7.7,0.65,4.5,0.14,5.3,0.26,0.17,11,410,180,1,34,41,0.03,(0),17,360,1.0,0.6,0.06,2.0,19.6,(0.2),10.9,2.40,0.23,2.21,(0)
＜魚類＞　ぼら　生,119,8,1,10.0,1.6,(0),8.1,0.66,-,0.16,4.7,0.26,0.43,4,330,17,-,-,24,0.01,-,-,170,0.5,0.7,0.06,0.2,15.5,(0.1),5.0,1.37,0.19,1.18,(0)
＜魚類＞　ぼら　からすみ,353,350,10,33.0,9.7,7,9.4,5.17,-,0.01,28.0,0.93,0.26,62,170,9,-,-,23,0.04,-,-,530,9.3,1.5,0.19,3.6,-,(0.3),28.9,4.47,1.10,2.68,(0)
＜魚類＞　ほんもろこ　生,103,250,2,5,2.9,(0),(5.4),0.73,-,0.03,9.0,0.20,0.13,37,320,850,-,-,39,0.21,-,-,640,3.4,1.3,0.07,0.2,(14.8),(0.1),4.1,0.69,0.36,0.82,(0)
＜魚類＞　（まぐろ類）　きはだ　生,102,2,0,6,0.4,(0),22.0,0.36,1.4,0.15,5.8,0.09,0.64,5,450,5,1,74,37,0.01,0,14,290,0.5,2.0,0.06,0.1,20.6,(Tr),1.0,0.21,0.04,0.21,(0)
＜魚類＞　（まぐろ類）　くろまぐろ　天然　赤身　生,115,83,2,5,0.8,Tr,19.0,0.41,1.9,0.10,1.3,0.05,0.85,8,380,5,0,110,45,0.01,0,14,270,0.4,1.1,0.04,0.1,22.3,(0.1),1.4,0.17,0.03,0.25,(0)
＜魚類＞　（まぐろ類）　くろまぐろ　天然　脂身　生,308,270,4,18.0,1.5,(0),14.0,0.47,-,0.04,1.0,0.07,0.82,8,230,7,-,-,35,Tr,-,-,180,0.5,1.6,0.04,0.2,16.7,(0.1),27.5,5.81,0.60,5.91,(0)
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　生,153,840,2,4,1.5,-,20.0,0.27,1.1,0.16,2.5,0.05,0.51,10,430,3,0,79,38,Tr,0,31,270,0.5,0.8,0.02,0.1,20.5,(0.3),7.6,1.87,0.27,1.73,0
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　水煮,173,900,2,4.1,1.8,-,20.0,0.28,1.3,0.16,3.2,0.04,0.40,12,400,3,0,88,38,Tr,0,34,270,0.6,1.0,0.02,0.1,22.5,(0.3),8.3,1.62,0.26,1.92,0
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　蒸し,187,990,2,4.3,1.9,-,20.0,0.27,1.3,0.17,3.4,0.04,0.31,11,410,3,0,91,39,0.01,0,38,270,0.6,0.9,0.02,0.1,22.9,(0.2),9.9,1.81,0.30,2.29,0
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　電子レンジ調理,191,970,2,4.3,1.8,-,24.0,0.25,1.4,0.19,3.4,0.05,0.29,9,490,4,0,94,44,0.01,0,39,310,0.6,1.1,0.02,0.1,24.9,(0.3),8.7,1.82,0.28,1.96,0
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　焼き,202,1100,2,5,2.0,-,24.0,0.33,1.5,0.19,3.3,0.04,0.33,11,500,3,Tr,94,42,0.01,0,42,290,0.6,0.9,0.02,0.1,24.0,(0.3),10.6,2.36,0.36,2.49,0
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　ソテー,194,910,2,4.4,1.9,-,23.0,0.25,1.4,0.18,3.2,0.05,0.42,10,470,3,Tr,90,43,0.01,0,36,300,0.6,0.9,0.02,0.1,23.1,(0.3),10.2,2.30,0.54,2.20,0
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　天ぷら,222,820,1,4.1,2.5,-,20.0,0.30,1.5,0.17,3.1,0.06,0.25,6,440,13,0,88,40,0.04,1,33,280,0.5,1.0,0.04,0.1,20.7,-,12.6,2.24,1.16,2.11,0
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　生,321,580,3,20.8,7.2,5,14.8,0.47,1,0.14,1.9,0.05,0.43,9,330,4,0,73,26,0.01,0,73,190,0.6,0.6,0.01,0.1,16.0,(0.3),28.9,8.14,1.19,6.80,-
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　水煮,330,15,3,51.6,0.9,1,10.6,0.45,4.3,0.11,7.1,0.18,0.16,7,290,3,Tr,78,26,0.01,-,93,190,0.6,0.7,0.02,0.1,18.2,(0.3),27.1,7.22,1.07,6.44,-
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　蒸し,313,15,2,18.9,7.1,4,15.4,0.46,1.4,0.16,2.1,0.05,0.27,5,450,75,Tr,62,47,0.01,Tr,47,250,0.8,0.9,0.08,1.9,17.4,(0.1),27.3,7.50,1.10,6.40,-
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　電子レンジ調理,307,750,2,21.2,5.6,4,17.2,0.62,1.3,0.15,2,0.05,0.3,4,350,4,Tr,89,31,0.01,-,87,220,0.6,0.8,0.02,0.1,19.6,(0.2),22.7,6.04,0.90,5.25,-
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　焼き,342,800,3,20.7,7,6,17.1,0.48,1.5,0.16,2.2,0.05,0.32,5,360,4,-,83,31,0.01,-,100,230,0.7,0.7,0.02,0.1,18.8,(0.2),28.4,7.86,1.16,6.70,-
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　ソテー,339,710,3,20.4,6.6,6,17.5,0.45,1.3,0.15,2.2,0.05,0.31,6,380,4,-,89,33,0.01,-,89,240,0.8,0.7,0.02,0.1,20.3,(0.2),27.8,7.18,1.24,6.24,-
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　脂身　天ぷら,345,670,2,19.5,7,15,15.3,0.58,1.3,0.14,2,0.06,0.25,6,350,17,Tr,70,30,0.04,1,76,220,0.6,0.7,0.02,0.1,17.8,(2.4),25.4,5.85,1.77,4.99,-
＜魚類＞　（まぐろ類）　びんなが　生,111,4,1,7,0.7,(0),26.0,0.31,1.2,0.13,2.8,0.10,0.94,4,440,9,1,71,41,0.01,0,12,310,0.5,0.9,0.05,0.1,21.6,(0.2),0.7,0.21,0.03,0.15,(0)
＜魚類＞　（まぐろ類）　みなみまぐろ　赤身　生,88,6,Tr,4,1.0,(0),15.0,0.30,2.2,0.03,2.2,0.05,1.08,5,400,5,0,73,27,0.01,0,5,240,0.4,1.8,0.04,0.1,16.9,(0.1),0.4,0.08,0.01,0.06,(0)
＜魚類＞　（まぐろ類）　みなみまぐろ　脂身　生,322,34,5,5,1.5,(0),15.0,0.29,4.4,0.10,1.5,0.06,1.00,4,280,9,1,120,29,0.01,0,38,210,0.4,0.6,0.05,0.1,16.6,(0.1),28.3,6.77,0.84,6.06,(0)
＜魚類＞　（まぐろ類）　めじまぐろ　生,139,61,1,12.0,1.2,(0),(24.0),0.59,-,0.19,6.9,0.19,0.73,6,410,9,-,-,40,0.01,-,-,290,0.5,1.8,0.09,0.1,(20.4),(0.1),4.8,1.36,0.17,1.09,(0)
＜魚類＞　（まぐろ類） めばち　赤身　生,115,17,1,3.6,0.9,Tr,20.0,0.15,1.5,0.09,1.4,0.05,0.76,5,440,3,Tr,75,35,Tr,0,18,270,0.4,0.9,0.03,0.1,21.9,(0.3),2.3,0.49,0.07,0.49,(0)
＜魚類＞　（まぐろ類） めばち　脂身　生,158,37,1,8.1,2.0,1,18.0,0.17,1.5,0.07,1.0,0.05,0.80,5,400,4,Tr,74,31,Tr,0,42,240,0.4,0.7,0.03,0.3,20.0,(0.4),7.5,1.79,0.27,1.78,(0)
＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ライト,70,10,0,3,0.4,(0),(13.0),0.13,-,0.01,1.1,0.04,0.26,4,230,5,-,-,26,0.01,-,-,160,0.7,0.6,0.05,0.5,(13.0),(0.2),0.7,0.15,0.03,0.18,(0)
＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ホワイト,96,(Tr),(0),2,0.4,(0),(15.0),0.13,-,0.07,1.4,0.03,0.15,7,280,6,-,-,34,0.02,-,-,200,0.7,1.0,0.04,0.7,(14.8),(0.4),2.5,0.62,0.11,0.64,(0)
＜魚類＞　（まぐろ類）　缶詰　味付け　フレーク,134,(Tr),(0),5,0.7,(0),(12.0),0.23,-,0.07,3.7,0.03,0.16,13,280,24,-,-,31,0.13,-,-,350,1.0,4.0,0.12,1.9,(15.4),-,2.3,0.57,0.11,0.58,(0)
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ライト,265,8,0,2,2.8,44,(12.0),0.09,-,0.01,1.1,0.03,0.26,3,230,4,-,-,25,0.01,-,-,160,0.3,0.5,0.04,0.9,(14.4),(0.1),21.7,1.40,10.76,3.37,(0)
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ホワイト,279,(Tr),(0),4,8.3,-,(16.0),0.12,-,0.05,2.0,0.13,0.15,2,190,2,-,-,27,0.02,-,-,270,0.4,1.8,0.03,0.9,(15.3),(0.1),23.6,0.55,11.18,4.85,(0)
＜魚類＞　マジェランあいなめ　生,243,1800,Tr,17.0,2.2,(0),(3.3),0.29,-,0.02,0.6,0.08,0.04,5,300,10,-,-,18,0.01,-,-,210,0.3,0.1,0.01,0.2,(11.0),(0.1),22.9,1.00,0.31,4.15,(0)
＜魚類＞　まながつお　生,161,90,1,5,1.4,(0),(6.9),1.37,-,0.22,1.4,0.13,0.30,7,370,21,-,-,25,0.01,-,-,190,0.5,0.3,0.02,0.4,(13.9),(Tr),10.9,1.23,0.28,3.80,(0)
＜魚類＞　みなみくろたち　生,112,55,1,2,1.9,(0),(11.0),0.85,-,0.06,6.5,0.20,0.50,4,460,22,-,-,34,0.03,-,-,240,0.5,0.6,0.05,0.3,(18.0),(0.1),3.0,0.95,0.09,0.75,(0)
＜魚類＞　みなみだら　生,68,6,0,7,0.8,(0),(4.7),0.44,-,0.03,1.6,0.27,0.09,11,320,23,-,-,41,0.02,-,-,160,0.3,0.3,0.04,0.6,(13.6),(Tr),0.3,0.10,0.01,0.05,(0)
＜魚類＞　むつ　生,175,8,Tr,4,0.9,(0),5.5,0.31,-,0.03,1.9,0.16,0.10,6,390,25,-,-,20,0.01,-,-,180,0.4,0.5,0.03,0.2,14.5,(Tr),12.6,0.63,0.16,1.69,(0)
＜魚類＞　むつ　水煮,161,11,Tr,3.6,0.6,(0),(6.9),0.25,-,0.04,2.5,0.16,0.13,4,410,49,-,-,23,0.01,-,-,230,0.4,0.6,0.03,0.2,(19.3),(Tr),8.4,0.43,0.11,1.14,(0)
＜魚類＞　めじな　生,113,55,0,1,0.8,(0),(6.2),0.44,-,0.05,1.8,0.38,0.16,2,380,27,-,-,30,0.01,-,-,240,0.9,0.3,0.03,0.2,(16.1),(0.1),4.5,0.84,0.17,1.17,(0)
＜魚類＞　めばる　生,100,11,2,1,1.5,(0),5.0,0.37,-,0.07,1.5,0.17,0.11,5,350,80,-,-,27,-,-,-,200,0.4,0.4,0.05,0.2,15.6,(Tr),3.5,0.87,0.08,0.79,(0)
＜魚類＞　メルルーサ　生,73,5,Tr,1,1.3,(0),4.1,0.32,-,0.09,0.8,0.04,0.07,5,320,12,-,-,38,0.01,-,-,150,0.4,0.2,0.02,0.4,14.6,(Tr),0.6,0.17,0.01,0.11,(0)
＜魚類＞　やつめうなぎ　生,245,8200,2,3,3.8,(0),5.6,1.18,-,0.25,4.9,0.85,0.20,19,150,7,-,-,15,0.03,-,-,180,1.6,2.0,0.15,0.1,-,(0.2),21.8,3.80,0.74,3.76,(0)
＜魚類＞　やつめうなぎ　干しやつめ,449,1900,(0),12.0,2.4,(0),15.0,5.76,-,0.33,55.0,1.69,0.14,100,650,16,-,-,49,0.10,-,-,240,5.9,32.0,1.80,0.3,-,(0.5),31.2,6.66,0.84,6.57,(0)
＜魚類＞　やまめ　養殖　生,110,15,3,8,2.2,(0),(6.9),1.48,-,0.15,6.6,0.16,0.22,13,420,85,-,-,28,0.01,-,-,280,0.8,0.5,0.04,0.1,(15.1),(0.3),4.3,0.73,0.45,0.91,(0)
＜魚類＞　わかさぎ　生,71,99,1,2,0.7,Tr,4.0,0.51,4.0,0.01,7.9,0.14,0.17,21,120,450,1,22,25,0.13,1,29,350,2.0,0.9,0.19,0.5,11.8,(0.1),1.7,0.45,0.09,0.29,(0)
＜魚類＞　わかさぎ　つくだ煮,308,460,Tr,8,4.2,(0),(8.3),0.77,-,0.24,9.4,0.32,0.06,59,480,970,-,-,69,1.74,-,-,780,4.4,2.6,0.11,4.8,(23.6),-,5.5,1.08,0.47,1.02,(0)
＜魚類＞　わかさぎ　あめ煮,301,420,0,9,3.6,(0),(8.1),0,-,0.28,11.0,0.35,0.06,52,410,960,-,-,66,2.29,-,-,740,5.2,2.1,0.08,4.1,(21.6),-,5.1,0.90,0.38,0.87,(0)
＜貝類＞　あかがい　生,70,35,2,(0),0.9,1,4.6,1.02,-,0.20,59.0,0.20,0.10,20,290,40,-,-,55,-,-,-,140,1.5,5.0,0.06,0.8,10.6,(3.5),0.3,0.03,0.01,0.03,(0)
＜貝類＞　あげまき　生,44,27,1,1,0.8,(0),(2.5),0.37,-,0.30,59.0,0.14,0.04,11,120,66,-,-,49,0.20,-,-,120,1.5,4.1,0.40,1.5,(5.9),(2.0),0.6,0.13,0.02,0.10,(0)
＜貝類＞　あさり　生,29,4,1,0.1,0.4,1,2.2,0.37,21.6,0.01,44.8,0.16,0.03,11,140,66,3,35,92,0.07,8,56,82,0.9,2.2,0.05,2,4.4,(0.4),0.7,0.06,0.03,0.08,(0)
＜貝類＞　あさり　蒸し,32,5,Tr,0.1,0.4,1,2,0.21,20.9,0.01,45.2,0.15,0.02,8,130,64,3,35,94,0.1,8,59,79,0.9,2.1,0.05,2,(3.8),(0.6),0.8,0.10,0.03,0.08,-
＜貝類＞　あさり　つくだ煮,218,43,0,(0),1.4,4,(4.4),0.40,-,0.02,15.0,0.18,0.09,42,270,260,-,-,79,0.94,-,-,300,2.8,19.0,0.18,7.4,(16.1),-,2.4,0.38,0.07,0.32,(0)
＜貝類＞　あさり　缶詰　水煮,102,6,(0),(0),2.7,3,(4.0),0,-,Tr,64.0,0.09,0.01,10,9,110,-,-,46,1.24,-,-,260,3.4,30.0,0.29,1.0,(15.7),(1.9),2.2,0.23,0.08,0.34,(0)
＜貝類＞　あさり　缶詰　味付け,124,6,(0),(0),2.3,4,(3.9),0,-,Tr,36.0,0.06,0.01,1,35,87,-,-,44,1.23,-,-,180,3.2,28.0,0.24,1.6,(12.8),-,1.9,0.29,0.06,0.24,(0)
＜貝類＞　あわび　くろあわび　生,76,1,1,(0),0.3,-,2.6,2.44,1.2,0.15,0.4,0.09,0.02,20,160,25,6,8,69,0.01,15,200,82,-,2.2,-,1.1,11.2,3.7,0.8,0.05,0.06,0.09,(0)
＜貝類＞　あわび　まだかあわび　生,74,2,2,(0),1.1,-,(3.4),2.05,1.1,0.02,0.4,0.10,0.02,22,250,21,5,8,58,0.01,14,190,130,-,1.8,-,0.8,(11.5),(3.3),0.4,0.03,0.02,0.04,(0)
＜貝類＞　あわび　めがいあわび　生,74,1,1,(0),0.3,-,2.5,1.71,1.1,0.16,0.4,0.09,0.02,29,230,19,5,8,50,0.01,14,190,110,-,0.7,-,0.8,8.8,(6.8),0.3,0.02,0.02,0.04,(0)
＜貝類＞　あわび　干し,257,4,Tr,(0),1.2,3,(8.2),0.71,-,0.36,2.4,0.11,0.05,87,490,39,-,-,110,0.05,-,-,300,1.6,2.0,0.74,7.4,(29.7),(23.8),1.6,0.13,0.10,0.22,(0)
＜貝類＞　あわび　塩辛,93,58,(0),(0),2.5,92,(3.4),1.13,-,0.20,12.0,0.70,0.10,130,180,55,-,-,88,0.11,-,-,160,2.2,34.0,0.25,6.6,(11.6),(1.4),3.9,0.35,0.32,0.91,(0)
＜貝類＞　あわび　水煮缶詰,85,Tr,(0),(0),1.5,0,(3.5),0.23,-,0.04,0.7,0.04,0.02,3,130,20,-,-,58,0.02,-,-,230,0.6,1.8,0.42,1.4,(15.2),(1.0),0.4,0.06,0.03,0.07,(0)
＜貝類＞　いがい　生,63,34,5,(0),1.1,Tr,3.7,0.63,6.4,0.01,10.0,0.37,0.02,42,230,43,5,37,73,0.86,9,65,160,1.0,3.5,0.05,1.4,7.5,3.1,1.6,0.32,0.07,0.24,(0)
